Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,10.83,11.22,10.688,10.878,4.024767,243590.0
2002-07-02,11.094,11.096,10.724,10.818,4.002567,121620.0
2002-07-03,10.9,11.2,10.73,11.114,4.112085,81050.0
2002-07-04,11.114,11.356,11.08,11.178,4.135765,284475.0
2002-07-05,11.248,11.516,11.2,11.288,4.176464,238285.0
2002-07-08,11.324,11.43,11.084,11.174,4.134284,130355.0
2002-07-09,11.238,11.27,11.0,11.024,4.078785,39170.0
2002-07-10,10.96,11.098,10.722,10.77,3.984809,26130.0
2002-07-11,10.76,10.914,10.48,10.554,3.904889,78485.0
2002-07-12,10.54,10.718,10.49,10.618,3.92857,58110.0
2002-07-15,10.68,10.72,10.48,10.58,3.914509,33380.0
2002-07-16,10.8,10.8,10.4,10.484,3.87899,37455.0
2002-07-17,10.6,10.636,10.406,10.526,3.89453,35070.0
2002-07-18,10.48,10.64,10.48,10.594,3.91969,41070.0
2002-07-19,10.44,10.76,10.44,10.594,3.91969,35595.0
2002-07-22,10.52,10.64,10.472,10.608,3.92487,89095.0
2002-07-23,10.76,10.76,10.32,10.578,3.913769,40175.0
2002-07-24,10.522,10.74,10.522,10.568,3.91007,57415.0
2002-07-25,11.0,11.0,10.76,10.922,4.041046,184205.0
2002-07-26,10.802,11.2,10.61,11.1,4.106905,153265.0
2002-07-29,11.3,11.456,10.924,11.17,4.132804,168890.0
2002-07-30,11.36,11.44,10.88,11.018,4.076565,210355.0
2002-07-31,11.24,11.24,10.52,11.078,4.098765,133015.0
2002-08-01,10.604,11.24,10.604,11.016,4.075826,23270.0
2002-08-02,10.608,11.196,10.6,10.998,4.069166,38760.0
2002-08-05,10.86,11.276,10.86,11.208,4.146864,40075.0
2002-08-06,11.28,11.28,11.06,11.224,4.152784,33570.0
2002-08-07,11.164,11.32,11.164,11.27,4.169803,147455.0
2002-08-08,11.26,11.36,11.16,11.32,4.188303,40115.0
2002-08-09,11.324,11.48,11.136,11.41,4.221602,99825.0
2002-08-12,11.4,11.72,11.36,11.558,4.276361,101755.0
2002-08-13,11.48,11.59,11.2,11.414,4.223081,338580.0
2002-08-14,11.24,11.556,11.22,11.446,4.234921,70945.0
2002-08-16,11.52,11.56,11.28,11.308,4.183863,28865.0
2002-08-19,11.3,11.4,11.282,11.324,4.189783,39750.0
2002-08-20,11.288,11.4,11.24,11.366,4.205322,66325.0
2002-08-21,11.436,11.46,11.2,11.384,4.211983,30245.0
2002-08-22,11.26,11.4,11.24,11.396,4.216423,204255.0
2002-08-23,11.362,11.362,11.248,11.288,4.176464,22185.0
2002-08-26,11.244,11.398,11.244,11.296,4.179423,19060.0
2002-08-27,11.36,11.392,11.28,11.32,4.188303,30440.0
2002-08-28,11.32,11.396,11.244,11.362,4.203843,21675.0
2002-08-29,11.214,11.4,11.214,11.354,4.200883,17895.0
2002-08-30,11.284,11.34,11.252,11.316,4.186823,32635.0
2002-09-02,11.28,11.4,11.2,11.212,4.148344,19745.0
2002-09-03,11.398,11.398,11.204,11.36,4.203103,35085.0
2002-09-04,11.284,11.44,11.25,11.406,4.220122,23685.0
2002-09-05,11.48,11.48,11.12,11.234,4.156484,26825.0
2002-09-06,11.28,11.48,11.28,11.404,4.219383,73275.0
2002-09-09,11.404,11.404,11.2,11.222,4.152044,28505.0
2002-09-11,11.24,11.45,11.24,11.416,4.223824,55555.0
2002-09-12,11.426,11.51,11.24,11.25,4.162404,51375.0
2002-09-13,11.358,11.52,11.28,11.412,4.222342,38785.0
2002-09-16,11.254,11.4,11.254,11.278,4.172764,17115.0
2002-09-17,11.36,11.36,11.22,11.258,4.165364,9955.0
2002-09-18,11.216,11.35,11.216,11.266,4.168324,19250.0
2002-09-19,11.224,11.328,11.2,11.206,4.146124,24630.0
2002-09-20,11.272,11.272,11.02,11.198,4.143165,362530.0
2002-09-23,11.2,11.24,11.162,11.2,4.143904,19410.0
2002-09-24,11.2,11.318,11.104,11.22,4.151304,31130.0
2002-09-25,11.198,11.198,11.044,11.066,4.094325,18050.0
2002-09-26,11.0,11.118,10.898,11.058,4.091366,1230.0
2002-09-27,11.0,11.278,11.0,11.258,4.165364,12515.0
2002-09-30,11.336,11.436,11.002,11.214,4.149084,114430.0
2002-10-01,11.376,11.376,11.084,11.126,4.116525,32620.0
2002-10-03,11.376,11.376,11.16,11.26,4.166103,34070.0
2002-10-04,11.352,11.352,11.164,11.296,4.179423,16395.0
2002-10-07,11.2,11.314,11.01,11.224,4.152784,26540.0
2002-10-08,10.1,11.356,10.1,11.216,4.149824,25375.0
2002-10-09,11.32,11.44,11.162,11.206,4.146124,128260.0
2002-10-10,10.96,11.198,10.96,11.142,4.122445,14435.0
2002-10-11,11.12,11.196,10.84,11.122,4.115045,14450.0
2002-10-14,11.396,11.396,11.0,11.084,4.100985,12960.0
2002-10-16,11.08,11.154,10.81,10.932,4.044745,27250.0
2002-10-17,10.902,11.12,10.9,11.046,4.086924,24230.0
2002-10-18,11.12,11.12,10.92,10.944,4.049186,27935.0
2002-10-21,9.302,11.19,9.302,11.096,4.105425,26355.0
2002-10-22,11.448,11.448,9.0,9.66,3.574118,348590.0
2002-10-23,9.4,9.558,8.796,9.044,3.346202,2721945.0
2002-10-24,9.0,10.508,8.662,9.614,3.557098,3313510.0
2002-10-25,9.52,9.98,9.17,9.732,3.600756,1188185.0
2002-10-28,9.76,9.76,9.412,9.666,3.576337,358710.0
2002-10-29,9.76,9.86,9.65,9.778,3.617777,84985.0
2002-10-30,9.602,10.0,9.42,9.566,3.539338,74290.0
2002-10-31,9.716,9.76,9.44,9.59,3.548218,174510.0
2002-11-01,9.46,9.72,9.344,9.512,3.519359,98980.0
2002-11-04,9.8,9.8,9.46,9.544,3.531197,25385.0
2002-11-05,9.56,9.656,9.404,9.426,3.487539,37475.0
2002-11-07,9.44,9.78,9.44,9.448,3.495679,147735.0
2002-11-08,9.56,9.6,9.302,9.404,3.479399,38370.0
2002-11-11,9.302,9.396,9.02,9.226,3.413541,82525.0
2002-11-12,9.32,9.32,9.18,9.234,3.416501,155530.0
2002-11-13,9.318,9.44,9.132,9.206,3.406141,154520.0
2002-11-14,9.28,9.42,8.926,8.964,3.316603,242000.0
2002-11-15,9.0,9.14,8.804,8.94,3.307723,250270.0
2002-11-18,8.956,9.0,8.854,8.88,3.285524,81910.0
2002-11-20,8.96,8.99,8.566,8.628,3.192286,329515.0
2002-11-21,8.838,8.9,8.72,8.838,3.269984,598255.0
2002-11-22,8.96,8.964,8.5,8.602,3.182667,367680.0
2002-11-25,8.658,9.04,8.658,8.994,3.327703,424295.0
2002-11-26,9.08,9.552,9.036,9.448,3.495679,721630.0
2002-11-27,9.44,9.67,9.28,9.614,3.557098,450990.0
2002-11-28,9.7,9.84,9.56,9.692,3.585957,181020.0
2002-11-29,9.712,9.786,9.45,9.596,3.550437,308840.0
2002-12-02,9.6,9.72,9.52,9.656,3.572638,223490.0
2002-12-03,9.28,9.746,9.28,9.71,3.592617,199265.0
2002-12-04,9.7,9.96,9.6,9.84,3.640715,137250.0
2002-12-05,10.0,10.116,9.928,10.006,3.702134,234760.0
2002-12-06,10.12,10.12,10.0,10.006,3.702134,34610.0
2002-12-09,10.004,10.08,10.0,10.012,3.704354,37795.0
2002-12-10,10.04,10.04,9.8,9.976,3.691035,44410.0
2002-12-11,9.808,10.04,9.8,10.006,3.702134,72995.0
2002-12-12,10.0,10.072,9.92,9.992,3.696954,98595.0
2002-12-13,9.96,10.0,9.92,9.986,3.694734,99050.0
2002-12-16,9.974,10.02,9.86,9.988,3.695474,64385.0
2002-12-17,9.854,10.04,9.688,10.0,3.699914,82410.0
2002-12-18,10.0,10.298,10.0,10.184,3.767993,123355.0
2002-12-19,10.24,10.24,9.984,10.002,3.700655,40270.0
2002-12-20,10.04,10.12,9.93,9.99,3.696215,45290.0
2002-12-23,9.92,10.0,9.72,9.986,3.694734,31550.0
2002-12-24,10.158,10.158,9.802,9.986,3.694734,9310.0
2002-12-26,10.0,10.04,9.928,9.986,3.694734,52300.0
2002-12-27,9.984,10.0,9.72,9.746,3.605937,259305.0
2002-12-30,9.44,9.98,9.44,9.934,3.675495,32955.0
2002-12-31,9.642,9.98,9.642,9.946,3.679935,30435.0
2003-01-01,9.99,10.038,9.82,10.0,3.699914,25305.0
2003-01-02,10.07,10.078,9.92,10.034,3.712493,24875.0
2003-01-03,9.78,10.26,9.78,10.156,3.757633,45195.0
2003-01-06,10.32,10.698,10.14,10.506,3.887131,230735.0
2003-01-07,10.52,10.644,10.44,10.51,3.88861,69430.0
2003-01-08,10.76,11.18,10.66,10.75,3.977407,366035.0
2003-01-09,11.07,11.36,10.76,10.81,3.999608,84215.0
2003-01-10,10.48,10.88,10.48,10.712,3.963348,47025.0
2003-01-13,10.996,10.996,10.56,10.586,3.916729,30350.0
2003-01-14,10.408,10.75,10.408,10.61,3.925609,15815.0
2003-01-15,10.24,10.716,10.24,10.568,3.91007,103930.0
2003-01-16,10.444,10.92,10.4,10.586,3.916729,10855.0
2003-01-17,9.924,11.28,9.924,11.044,4.086185,82630.0
2003-01-20,10.724,11.16,10.724,11.05,4.088406,71690.0
2003-01-21,10.964,11.16,10.96,11.12,4.114305,571090.0
2003-01-22,11.158,11.16,10.88,10.998,4.069166,163260.0
2003-01-23,11.096,11.2,10.844,11.036,4.083226,123175.0
2003-01-24,10.734,11.118,10.734,11.036,4.083226,63905.0
2003-01-27,11.04,11.04,10.48,10.712,3.963348,50590.0
2003-01-28,11.676,11.676,10.574,10.802,3.996647,48820.0
2003-01-29,10.7,10.97,10.64,10.64,3.93671,15810.0
2003-01-30,10.6,10.8,10.32,10.584,3.91599,63925.0
2003-01-31,10.948,11.26,10.614,11.164,4.130585,477485.0
2003-02-03,11.16,11.524,11.16,11.47,4.243803,169950.0
2003-02-04,11.67,11.67,11.376,11.584,4.285981,171375.0
2003-02-05,11.442,12.376,11.442,11.988,4.435457,428320.0
2003-02-06,11.804,12.334,11.804,12.2,4.513895,782100.0
2003-02-07,12.08,12.308,12.08,12.188,4.509457,319985.0
2003-02-10,12.516,12.558,12.18,12.358,4.572354,420170.0
2003-02-11,12.324,12.56,12.208,12.278,4.542755,226490.0
2003-02-12,11.94,12.32,11.94,12.01,4.443597,127240.0
2003-02-14,12.0,12.06,11.6,11.786,4.360719,152005.0
2003-02-17,12.988,12.988,12.04,12.488,4.620453,501740.0
2003-02-18,12.56,13.2,12.56,12.876,4.76401,786190.0
2003-02-19,13.0,13.16,12.8,12.962,4.795829,304115.0
2003-02-20,13.14,13.34,12.64,12.812,4.74033,237625.0
2003-02-21,12.8,12.952,12.0,12.864,4.75957,245975.0
2003-02-24,13.116,13.194,12.844,12.968,4.798048,177125.0
2003-02-25,12.484,12.96,12.484,12.796,4.734411,181875.0
2003-02-26,12.84,13.2,12.63,12.918,4.77955,246590.0
2003-02-27,12.524,13.0,12.524,12.938,4.78695,385070.0
2003-02-28,13.0,13.118,11.856,12.696,4.697411,857775.0
2003-03-03,12.8,12.96,12.16,12.262,4.536835,126100.0
2003-03-04,12.36,12.36,12.2,12.338,4.564955,119715.0
2003-03-05,12.36,12.36,12.002,12.144,4.493176,114605.0
2003-03-06,12.0,12.44,12.0,12.21,4.517596,99560.0
2003-03-07,12.192,12.192,11.96,12.092,4.473936,64060.0
2003-03-10,12.268,12.268,11.64,11.836,4.379219,70790.0
2003-03-11,12.0,12.148,11.68,11.762,4.351839,80680.0
2003-03-12,11.956,11.956,11.532,11.666,4.31632,97305.0
2003-03-13,11.448,11.996,11.366,11.786,4.360719,52495.0
2003-03-17,11.366,11.986,11.366,11.856,4.386618,61835.0
2003-03-19,11.96,12.0,11.4,11.58,4.284502,78740.0
2003-03-20,11.6,12.128,11.42,11.974,4.430278,108240.0
2003-03-21,11.76,12.036,11.76,11.91,4.406599,66595.0
2003-03-24,12.08,12.276,12.04,12.132,4.488737,83270.0
2003-03-25,11.848,12.158,11.84,12.13,4.487996,35800.0
2003-03-26,11.93,12.2,11.898,12.134,4.489477,58480.0
2003-03-27,12.1,12.106,11.4,11.778,8.620322,76135.0
2003-03-28,11.604,12.0,11.604,11.822,8.652523,54660.0
2003-03-31,11.98,12.0,11.2,11.45,8.380259,98930.0
2003-04-01,11.796,11.796,11.46,11.714,8.573482,47615.0
2003-04-02,11.768,11.92,11.76,11.852,8.674482,29035.0
2003-04-03,12.0,12.64,12.0,12.274,8.983344,193350.0
2003-04-04,12.28,12.388,12.164,12.284,8.990663,158740.0
2003-04-07,12.4,12.4,12.282,12.36,9.046288,78735.0
2003-04-08,12.36,12.4,12.28,12.378,9.059463,51760.0
2003-04-09,12.36,12.4,12.284,12.314,9.01262,27650.0
2003-04-10,12.36,13.19,12.26,12.58,9.207306,492730.0
2003-04-11,12.6,12.92,12.16,12.222,8.945286,237695.0
2003-04-15,12.2,12.688,12.2,12.496,9.145825,51075.0
2003-04-16,12.556,12.558,12.2,12.256,8.970169,34140.0
2003-04-17,13.4,13.4,12.252,12.354,9.041896,56840.0
2003-04-21,12.32,12.6,12.08,12.58,9.207306,112415.0
2003-04-22,12.526,12.598,12.3,12.538,9.176566,45835.0
2003-04-23,12.604,12.68,12.33,12.418,9.088738,29125.0
2003-04-24,12.28,12.512,11.6,12.028,8.803296,109035.0
2003-04-25,12.08,12.36,12.08,12.292,8.996518,123885.0
2003-04-28,12.392,12.44,12.252,12.372,9.055069,48860.0
2003-04-29,12.44,12.44,12.296,12.32,9.017011,27225.0
2003-04-30,12.0,12.64,12.0,12.33,9.024329,86315.0
2003-05-02,12.36,12.52,12.32,12.414,9.085809,67855.0
2003-05-05,12.6,12.874,12.368,12.692,9.289279,164310.0
2003-05-06,12.728,12.97,12.728,12.842,9.399064,178585.0
2003-05-07,12.24,12.89,12.24,12.756,9.336121,113790.0
2003-05-08,12.64,12.682,12.408,12.56,9.192669,64040.0
2003-05-09,12.12,12.8,12.12,12.526,9.167784,103225.0
2003-05-12,12.44,12.9,12.44,12.766,9.343438,99655.0
2003-05-13,12.98,12.992,12.72,12.798,9.366859,120135.0
2003-05-14,12.936,12.936,12.72,12.77,9.346367,102990.0
2003-05-15,12.88,13.12,12.724,12.916,9.453224,203650.0
2003-05-16,13.24,13.66,13.16,13.578,9.937742,270090.0
2003-05-19,13.602,14.148,13.364,13.52,9.895292,307265.0
2003-05-20,13.32,13.552,13.29,13.432,9.830886,77765.0
2003-05-21,13.752,13.752,13.24,13.284,9.722564,352600.0
2003-05-22,13.28,13.596,12.52,13.412,9.816246,117550.0
2003-05-23,13.7,13.7,13.4,13.45,9.844059,121005.0
2003-05-26,13.522,13.676,13.242,13.508,9.88651,144030.0
2003-05-27,13.64,13.92,13.524,13.602,9.955309,175080.0
2003-05-28,13.612,13.72,13.52,13.59,9.946526,71140.0
2003-05-29,13.48,13.72,13.48,13.668,10.003613,156635.0
2003-05-30,13.678,13.76,13.58,13.704,10.029962,155155.0
2003-06-02,13.448,14.0,13.448,13.624,9.97141,205420.0
2003-06-03,13.462,13.748,13.4,13.456,9.848452,76240.0
2003-06-04,13.424,13.64,13.4,13.57,9.931887,58080.0
2003-06-05,13.596,13.88,13.462,13.798,10.098761,137130.0
2003-06-06,13.998,14.152,13.684,13.816,10.111934,178535.0
2003-06-09,13.8,14.478,13.68,14.242,10.423723,420885.0
2003-06-10,14.08,14.436,14.08,14.37,10.517406,162340.0
2003-06-11,14.668,15.768,14.36,15.172,11.10439,1248045.0
2003-06-12,15.52,15.52,14.882,14.956,10.946301,485965.0
2003-06-13,15.12,15.16,14.48,14.648,10.720875,169655.0
2003-06-16,14.72,15.12,14.716,15.052,11.016562,151110.0
2003-06-17,15.0,15.44,15.0,15.2,11.124883,279425.0
2003-06-18,15.28,15.52,13.832,14.806,10.836515,292075.0
2003-06-19,14.88,15.08,14.502,14.634,10.710629,209345.0
2003-06-20,14.84,14.908,14.72,14.872,10.884821,107265.0
2003-06-23,14.76,14.996,14.54,14.68,10.744295,113970.0
2003-06-24,14.56,14.928,13.64,13.93,10.195372,378260.0
2003-06-25,14.08,15.158,14.08,14.716,10.770644,577650.0
2003-06-26,14.85,15.0,14.602,14.96,10.949227,240810.0
2003-06-27,15.16,15.16,14.746,14.856,10.87311,82560.0
2003-06-30,15.116,15.116,14.12,14.838,10.859934,107085.0
2003-07-01,14.9,15.2,14.64,15.078,11.035592,285620.0
2003-07-02,15.28,15.78,15.28,15.52,11.359092,443695.0
2003-07-03,15.756,15.838,15.052,15.22,11.139522,158315.0
2003-07-04,15.476,15.68,15.2,15.262,11.170263,122115.0
2003-07-07,15.32,15.516,15.16,15.302,11.199538,133415.0
2003-07-08,15.324,15.324,15.12,15.2,11.124883,542870.0
2003-07-09,15.032,15.356,14.888,15.002,10.979967,54765.0
2003-07-10,15.156,15.198,14.62,14.846,10.865791,122120.0
2003-07-11,14.882,15.196,14.64,14.748,10.794066,158245.0
2003-07-14,15.03,15.112,14.766,14.836,10.858473,56880.0
2003-07-15,14.92,14.92,13.204,14.666,10.73405,47225.0
2003-07-16,14.72,14.878,14.68,14.77,10.810167,81945.0
