Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,27.52,28.129999,27.4,27.99,12.452147,630442.0
2002-07-02,27.99,28.27,27.73,27.969999,12.443248,1007265.0
2002-07-03,27.77,27.98,27.4,27.559999,12.260846,178065.0
2002-07-04,27.530001,27.73,27.469999,27.549999,12.256401,199282.0
2002-07-05,27.469999,27.969999,27.360001,27.57,12.265296,138578.0
2002-07-08,28.0,28.27,27.07,27.780001,12.358723,216458.0
2002-07-09,28.0,28.27,26.950001,27.200001,12.100692,1158428.0
2002-07-10,27.32,27.32,26.700001,26.889999,11.96278,384892.0
2002-07-11,26.870001,26.93,26.370001,26.49,11.784831,1189395.0
2002-07-12,26.469999,26.93,26.41,26.51,11.79373,1100752.0
2002-07-15,26.4,26.530001,26.17,26.389999,11.740343,758595.0
2002-07-16,26.67,26.67,26.15,26.26,11.682506,573555.0
2002-07-17,26.27,26.370001,26.09,26.219999,11.664709,147120.0
2002-07-18,26.01,26.530001,26.01,26.280001,11.691405,112065.0
2002-07-19,26.129999,26.27,25.799999,25.93,11.535696,249975.0
2002-07-22,26.0,26.0,25.27,25.469999,11.331054,341498.0
2002-07-23,25.33,26.530001,24.809999,24.950001,11.099714,457725.0
2002-07-24,24.799999,24.799999,24.530001,24.67,10.97515,298410.0
2002-07-25,25.33,25.33,23.73,24.049999,10.699327,1339500.0
2002-07-26,24.0,24.4,23.27,23.530001,10.46799,1189335.0
2002-07-29,24.27,24.27,23.07,23.280001,10.356771,451492.0
2002-07-30,22.68,23.6,22.68,22.959999,10.214407,899820.0
2002-07-31,22.690001,23.32,22.6,22.66,10.080943,732465.0
2002-08-01,23.200001,23.200001,22.280001,22.59,10.049805,724072.0
2002-08-02,22.440001,22.57,22.15,22.370001,9.951928,465982.0
2002-08-05,22.4,22.67,21.74,21.950001,9.765079,1924500.0
2002-08-06,22.26,22.469999,21.809999,22.290001,9.91634,1673670.0
2002-08-07,22.67,22.93,22.27,22.620001,10.063148,893828.0
2002-08-08,22.799999,22.799999,22.0,22.209999,9.880752,304388.0
2002-08-09,22.09,22.6,21.870001,22.23,9.889647,455310.0
2002-08-12,22.790001,22.790001,22.139999,22.25,9.898543,239220.0
2002-08-13,22.67,22.67,22.27,22.4,9.965277,232672.0
2002-08-14,22.4,22.4,21.549999,22.01,10.751754,532372.0
2002-08-16,22.4,22.4,21.950001,21.99,10.741982,960518.0
2002-08-19,22.27,22.309999,22.07,22.129999,10.810369,418350.0
2002-08-20,22.530001,22.530001,21.799999,21.969999,10.73221,1445872.0
2002-08-21,21.879999,22.27,21.879999,22.01,10.751754,2020500.0
2002-08-22,22.129999,22.370001,22.1,22.129999,10.810369,1757708.0
2002-08-23,22.190001,22.23,22.07,22.1,10.795717,616222.0
2002-08-26,22.16,22.16,21.93,21.969999,10.73221,2135955.0
2002-08-27,21.879999,22.0,21.75,21.860001,10.678479,619192.0
2002-08-28,22.110001,22.110001,21.75,21.83,10.663821,567030.0
2002-08-29,22.0,22.0,21.73,21.83,10.663821,592500.0
2002-08-30,22.0,22.01,21.65,21.98,10.737097,1051920.0
2002-09-02,22.27,23.07,21.870001,22.309999,10.898299,1408425.0
2002-09-03,22.33,22.33,21.950001,21.99,10.741982,852090.0
2002-09-04,22.129999,22.129999,21.940001,22.01,10.751754,283560.0
2002-09-05,22.129999,22.530001,21.639999,22.35,10.917837,1242218.0
2002-09-06,22.52,22.639999,22.030001,22.15,10.82014,1146578.0
2002-09-09,21.6,22.23,21.6,22.16,10.825025,454125.0
2002-09-11,22.27,22.4,22.190001,22.24,10.864103,546210.0
2002-09-12,22.27,23.799999,22.200001,23.59,11.523573,4144298.0
2002-09-13,23.57,24.65,23.26,23.299999,11.381911,820215.0
2002-09-16,23.33,23.870001,22.940001,23.049999,11.259784,522788.0
2002-09-17,23.200001,23.27,23.030001,23.110001,11.289097,185055.0
2002-09-18,22.9,23.200001,22.9,23.059999,11.264668,310792.0
2002-09-19,22.540001,23.09,22.540001,22.74,11.108349,312848.0
2002-09-20,23.25,23.25,22.33,22.709999,11.093695,503842.0
2002-09-23,22.57,23.1,22.48,22.5,10.991113,430755.0
2002-09-24,22.719999,22.719999,22.049999,22.34,10.912954,290700.0
2002-09-25,22.16,22.370001,22.07,22.18,10.834797,330270.0
2002-09-26,22.15,22.33,22.07,22.110001,10.800603,355065.0
2002-09-27,22.370001,22.370001,22.030001,22.15,10.82014,684300.0
2002-09-30,21.83,22.190001,21.73,21.809999,10.654053,1091782.0
2002-10-01,22.0,22.0,21.469999,21.709999,10.605203,943500.0
2002-10-03,21.73,22.110001,21.6,21.92,10.707788,745020.0
2002-10-04,22.0,22.07,21.530001,21.75,10.624742,1164862.0
2002-10-07,21.690001,21.93,21.690001,21.77,10.634513,1797300.0
2002-10-08,21.540001,22.059999,21.540001,21.99,10.741982,851528.0
2002-10-09,22.0,22.17,21.879999,22.120001,10.805487,546218.0
2002-10-10,22.4,22.4,22.030001,22.18,10.834797,508042.0
2002-10-11,22.4,22.620001,22.01,22.530001,11.005768,481935.0
2002-10-14,23.07,23.07,22.57,22.610001,11.044848,376178.0
2002-10-16,22.67,23.030001,22.469999,22.59,11.03508,1161375.0
2002-10-17,22.73,22.73,22.27,22.389999,10.93738,515805.0
2002-10-18,22.440001,22.73,22.4,22.450001,10.966687,397492.0
2002-10-21,22.43,22.799999,21.73,22.66,11.069273,182258.0
2002-10-22,22.129999,23.049999,22.07,22.33,10.908071,323408.0
2002-10-23,22.51,22.51,22.07,22.16,10.825025,306352.0
2002-10-24,22.129999,22.49,22.0,22.120001,10.805487,200385.0
