Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,6.125,6.15,5.9,5.97,0.055091,711934.0
2002-07-02,5.89,6.12,5.815,5.85,0.053983,520842.0
2002-07-03,5.85,5.925,5.82,5.86,0.054076,277700.0
2002-07-04,5.75,5.97,5.675,5.895,0.234394,597586.0
2002-07-05,5.945,6.105,5.83,5.86,0.233003,425350.0
2002-07-08,5.85,6.025,5.75,5.77,0.229424,227548.0
2002-07-09,5.85,5.925,5.68,5.715,0.227237,310782.0
2002-07-10,5.75,5.79,5.565,5.67,0.225448,293170.0
2002-07-11,5.74,5.75,5.58,5.615,0.223261,235822.0
2002-07-12,5.675,5.725,5.475,5.51,0.219086,310650.0
2002-07-15,5.5,5.5,5.235,5.26,0.209146,259934.0
2002-07-16,5.29,5.495,5.105,5.145,0.204573,320936.0
2002-07-17,5.2,5.22,5.015,5.08,0.201989,396672.0
2002-07-18,5.175,5.35,5.15,5.295,0.210537,343394.0
2002-07-19,5.01,5.33,5.01,5.115,0.20338,239092.0
2002-07-22,5.05,5.075,4.94,5.0,0.198808,219326.0
2002-07-23,4.875,5.15,4.875,5.04,0.200398,187574.0
2002-07-24,5.1,5.195,5.015,5.055,0.200994,187028.0
2002-07-25,5.195,5.265,5.05,5.115,0.20338,216812.0
2002-07-26,5.095,5.095,4.75,4.785,0.190259,311778.0
2002-07-29,4.775,4.9,4.6,4.705,0.187078,543580.0
2002-07-30,4.825,4.835,4.41,4.59,0.182505,272536.0
2002-07-31,4.55,4.55,4.3,4.475,0.177933,221288.0
2002-08-01,4.55,4.825,4.55,4.765,0.189464,294276.0
2002-08-02,4.6,4.75,4.59,4.71,0.187277,124822.0
2002-08-05,4.8,4.945,4.78,4.91,0.195229,137250.0
2002-08-06,4.9,5.125,4.815,4.91,0.195229,278290.0
2002-08-07,4.99,5.22,4.925,5.095,0.202585,445562.0
2002-08-08,5.125,5.15,4.905,4.93,0.196024,171092.0
2002-08-09,4.97,5.045,4.725,4.805,0.191054,251308.0
2002-08-12,4.945,5.05,4.85,4.945,0.196621,126188.0
2002-08-13,5.005,5.1,5.005,5.045,0.200597,63650.0
2002-08-14,5.0,5.085,4.955,5.025,0.199802,315328.0
2002-08-16,5.095,5.125,5.0,5.015,0.199404,79634.0
2002-08-19,5.045,5.05,4.975,5.0,0.198808,480316.0
2002-08-20,5.04,5.05,5.0,5.02,0.199603,73628.0
2002-08-21,5.025,5.175,5.0,5.015,0.199404,105018.0
2002-08-22,5.0,5.07,4.9,4.915,0.195428,110992.0
2002-08-23,5.0,5.0,4.875,4.925,0.195825,56170.0
2002-08-26,4.945,5.0,4.9,4.93,0.196024,56426.0
2002-08-27,4.97,4.99,4.89,4.905,0.19503,47508.0
2002-08-28,4.905,4.945,4.885,4.91,0.195229,63654.0
