Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,66.400002,66.667503,66.400002,66.667503,9.765231,28000.0
2000-01-04,71.434998,72.002502,65.0,71.522499,10.476376,1134000.0
2000-01-05,68.199997,77.245003,65.802498,75.339996,11.03555,2012000.0
2000-01-06,81.0,81.0,76.5,78.767502,11.5376,1016000.0
2000-01-07,78.75,85.0,72.550003,78.637497,11.518556,2420000.0
2000-01-10,79.449997,81.894997,72.349998,72.739998,10.654709,1038000.0
2000-01-11,73.252502,73.252502,66.922501,66.932503,9.804049,1206000.0
2000-01-12,67.5,70.974998,67.5,70.047501,10.260324,696000.0
2000-01-13,70.224998,70.25,64.552498,65.025002,9.524644,542000.0
2000-01-14,65.050003,67.445,61.25,65.332497,9.569687,758000.0
2000-01-17,66.647499,67.5,65.0,65.337502,9.570415,410000.0
2000-01-18,64.75,65.5,63.255001,64.957497,9.514754,620000.0
2000-01-19,65.997498,70.154999,65.997498,70.154999,10.276069,848000.0
2000-01-20,70.997498,74.400002,70.0,70.547501,10.333562,1288000.0
2000-01-21,70.5,71.845001,68.102501,69.169998,10.131788,1022000.0
2000-01-24,71.724998,72.400002,63.637501,63.654999,9.323971,932000.0
2000-01-25,63.900002,64.5,61.517502,62.445,9.146735,820000.0
2000-01-27,64.400002,65.945,63.0,63.82,9.348141,608000.0
2000-01-28,64.0,65.25,63.07,63.5425,9.307494,426000.0
2000-01-31,62.252499,62.252499,58.5,58.715,8.600377,394000.0
2000-02-01,59.747501,60.0,56.357498,59.375,8.697053,674000.0
2000-02-02,60.5975,63.75,60.5975,62.3325,9.130256,582000.0
2000-02-03,57.3475,63.049999,57.3475,61.9575,9.075327,302000.0
2000-02-04,62.0,62.5,59.5,60.477501,8.858542,320000.0
2000-02-07,60.0,61.0,58.599998,59.127499,8.660799,266000.0
2000-02-08,57.5,61.0,56.599998,59.775002,8.755642,856000.0
2000-02-09,61.0,63.25,59.0,59.439999,8.706573,526000.0
2000-02-10,59.950001,60.5,58.75,59.25,8.678742,230000.0
2000-02-11,60.25,60.25,57.5,57.849998,8.473674,184000.0
2000-02-14,56.5,57.349998,53.224998,53.5,7.836501,288000.0
2000-02-15,52.852501,53.849998,50.0,50.822498,7.444309,666000.0
2000-02-16,50.799999,52.400002,50.349998,50.900002,7.455661,426000.0
2000-02-17,50.25,54.9725,50.25,54.9725,8.052189,204000.0
2000-02-18,59.0,59.372501,57.25,59.317501,8.688628,588000.0
2000-02-21,62.299999,63.450001,54.572498,54.572498,7.993598,582000.0
2000-02-22,51.599998,56.485001,51.115002,53.747501,7.872756,744000.0
2000-02-23,55.5,56.987499,51.299999,52.314999,7.662925,520000.0
2000-02-24,54.400002,55.0,51.75,54.427502,7.972358,522000.0
2000-02-25,54.5,54.900002,51.150002,52.009998,7.618249,286000.0
2000-02-28,52.349998,55.0,50.130001,53.967499,7.904977,510000.0
2000-02-29,54.5,56.75,49.700001,50.552502,7.404762,758000.0
2000-03-01,51.997501,53.25,49.0,51.994999,7.616054,914000.0
2000-03-02,52.200001,52.25,47.837502,47.837502,7.007076,542000.0
2000-03-03,45.0,45.5,44.012501,44.865002,6.571675,624000.0
2000-03-06,45.5,46.25,43.650002,45.612499,6.681168,586000.0
2000-03-07,44.16,44.900002,41.974998,42.09,6.165203,984000.0
2000-03-08,24.75,24.950001,21.75,22.2075,3.25288,704000.0
2000-03-09,21.6,22.200001,20.952499,21.4375,3.140094,178000.0
2000-03-10,21.0,23.1525,21.0,23.1525,3.3913,226000.0
