Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,12.8,13.25,12.73,13.09,1.338729,1628945.0
2002-07-02,12.08,12.54,12.08,12.37,1.821792,702900.0
2002-07-03,12.38,12.5,12.08,12.13,1.786445,385765.0
2002-07-04,12.23,12.29,12.0,12.07,1.777609,308835.0
2002-07-05,12.19,12.2,11.81,11.86,1.746681,313690.0
2002-07-08,11.8,12.26,11.8,12.02,1.770245,735540.0
2002-07-09,11.82,12.28,11.82,12.18,1.793809,267095.0
2002-07-10,12.2,12.5,12.15,12.22,1.7997,1325750.0
2002-07-11,12.19,12.24,12.07,12.09,1.780555,224875.0
2002-07-12,12.2,12.2,11.97,12.05,1.774663,861960.0
2002-07-15,12.0,12.1,11.58,11.68,1.720172,828060.0
2002-07-16,11.6,11.65,10.96,11.07,1.630334,1043050.0
2002-07-17,11.05,11.29,11.0,11.21,1.650953,277260.0
2002-07-18,11.8,11.8,11.3,11.36,1.673043,186985.0
2002-07-19,11.58,11.58,11.31,11.37,1.674517,137715.0
2002-07-22,11.1,11.1,10.36,10.44,1.537551,684615.0
2002-07-23,10.41,11.05,10.4,10.99,1.618552,402560.0
2002-07-24,10.99,11.0,10.76,10.84,1.59646,386045.0
2002-07-25,11.16,11.2,10.8,10.82,1.593515,117270.0
2002-07-26,10.65,10.69,10.5,10.59,1.559642,212455.0
2002-07-29,10.1,10.5,10.1,10.41,1.533132,352725.0
2002-07-30,10.53,10.69,10.2,10.25,1.509569,504930.0
2002-07-31,10.0,10.39,9.82,10.24,1.508095,278470.0
2002-08-01,10.44,10.52,10.25,10.4,1.53166,196820.0
2002-08-02,10.4,10.4,10.2,10.28,1.513987,145470.0
2002-08-05,10.1,11.8,10.1,10.69,1.574369,427945.0
2002-08-06,10.54,10.62,10.2,10.26,1.511041,674880.0
2002-08-07,10.3,10.47,10.23,10.26,1.511041,155085.0
2002-08-08,10.32,10.32,10.0,10.04,1.478641,366015.0
2002-08-09,9.96,10.29,9.96,10.24,1.508095,86265.0
2002-08-12,10.3,10.48,10.3,10.43,1.536078,100390.0
2002-08-13,10.6,10.6,10.25,10.32,1.519878,49290.0
2002-08-14,8.77,10.4,8.77,10.23,1.506623,364250.0
2002-08-16,10.37,10.38,10.18,10.35,1.524296,98485.0
2002-08-19,8.58,10.4,8.58,10.31,1.518405,396145.0
2002-08-20,10.37,10.37,10.28,10.3,1.516932,47500.0
2002-08-21,10.25,10.35,10.25,10.28,1.513987,90605.0
2002-08-22,10.2,10.35,10.1,10.16,1.496314,144075.0
2002-08-23,10.28,10.4,10.25,10.3,1.516932,140710.0
2002-08-26,10.27,10.39,10.27,10.33,1.521351,108420.0
2002-08-27,10.34,10.44,10.2,10.3,1.516932,361795.0
2002-08-28,10.36,10.36,10.3,10.31,1.518405,41885.0
2002-08-29,10.22,10.36,10.22,10.3,1.516932,60860.0
2002-08-30,10.35,10.44,10.24,10.4,1.53166,189100.0
2002-09-02,10.51,10.59,10.22,10.28,1.513987,163990.0
2002-09-03,10.4,10.4,10.0,10.01,1.474223,531540.0
2002-09-04,10.69,10.69,9.9,9.98,1.469804,223670.0
2002-09-05,10.41,10.41,9.93,9.96,1.466859,81530.0
2002-09-06,10.1,10.1,9.8,9.82,1.44624,207450.0
2002-09-09,9.78,9.89,9.61,9.68,1.425622,185160.0
2002-09-11,9.95,9.95,9.51,9.57,1.409421,268255.0
2002-09-12,9.78,9.78,9.5,9.56,1.407949,430175.0
2002-09-13,9.6,9.69,9.56,9.6,1.41384,106450.0
2002-09-16,9.8,9.82,9.44,9.5,1.399112,134780.0
2002-09-17,9.54,9.54,9.4,9.47,1.394694,120375.0
2002-09-18,9.42,9.5,9.4,9.41,1.385857,237505.0
2002-09-19,9.32,9.47,9.0,9.24,1.360821,432160.0
2002-09-20,9.2,9.35,9.2,9.3,1.369657,107740.0
2002-09-23,9.4,9.4,9.15,9.16,1.349039,176840.0
2002-09-24,10.4,10.4,8.89,8.95,1.318111,575215.0
2002-09-25,8.9,9.08,8.82,8.92,1.313693,391945.0
2002-09-26,8.97,9.0,8.88,8.91,1.31222,146880.0
2002-09-27,8.96,9.0,8.9,8.91,1.31222,190010.0
2002-09-30,8.9,9.02,8.86,8.91,1.31222,237730.0
2002-10-01,8.9,8.92,8.85,8.87,1.306329,146955.0
2002-10-03,8.95,8.95,8.84,8.85,1.303384,108005.0
2002-10-04,8.89,8.9,8.77,8.78,1.293074,203160.0
2002-10-07,9.0,9.0,8.78,8.82,1.298965,267830.0
2002-10-08,8.9,9.18,8.9,9.08,1.337257,166560.0
2002-10-09,9.18,9.35,9.12,9.2,1.35493,132490.0
2002-10-10,9.19,9.2,9.06,9.14,1.346093,61645.0
2002-10-11,9.12,9.28,9.1,9.15,1.347566,41820.0
2002-10-14,9.14,9.18,9.1,9.14,1.346093,51415.0
2002-10-16,9.24,9.24,9.1,9.11,1.341675,72450.0
2002-10-17,9.14,9.2,9.1,9.14,1.346093,40355.0
2002-10-18,9.2,9.24,9.16,9.21,1.356402,102300.0
2002-10-21,9.3,9.31,9.16,9.21,1.356402,105675.0
2002-10-22,9.24,9.27,9.12,9.18,1.351984,76635.0
2002-10-23,9.22,9.23,9.1,9.14,1.346093,99275.0
2002-10-24,9.2,9.2,9.03,9.05,1.332838,105190.0
2002-10-25,9.14,9.14,9.0,9.03,1.329893,81805.0
2002-10-28,9.2,9.35,9.06,9.11,1.341675,472855.0
2002-10-29,9.2,9.68,9.04,9.08,1.337257,489980.0
2002-10-30,9.2,9.2,9.05,9.07,1.335784,175715.0
2002-10-31,9.18,9.18,8.85,8.99,1.324002,281250.0
2002-11-01,10.0,10.0,8.95,9.03,1.329893,470880.0
2002-11-04,9.19,9.34,9.06,9.24,1.360821,259880.0
2002-11-05,9.24,9.28,9.1,9.18,1.351984,189805.0
2002-11-07,9.25,9.28,9.2,9.23,1.359348,146505.0
2002-11-08,9.2,9.3,9.18,9.21,1.356402,181735.0
2002-11-11,9.02,9.26,9.02,9.19,1.353457,130995.0
2002-11-12,9.15,9.21,9.14,9.18,1.351984,58770.0
2002-11-13,9.3,9.3,9.11,9.23,1.359348,103270.0
2002-11-14,9.2,9.29,9.14,9.22,1.357875,67615.0
2002-11-15,9.25,9.37,9.24,9.32,1.372603,160975.0
2002-11-18,9.42,9.76,9.4,9.7,1.428567,330130.0
2002-11-20,9.71,9.8,9.52,9.55,1.406476,363425.0
2002-11-21,9.68,9.69,9.58,9.6,1.41384,179215.0
2002-11-22,9.61,10.1,9.61,10.04,1.478641,1225880.0
2002-11-25,10.08,10.48,10.08,10.42,1.534605,763460.0
2002-11-26,10.6,11.16,10.38,10.72,1.578788,1297675.0
2002-11-27,10.72,11.58,10.61,11.12,1.637698,6649460.0
2002-11-28,11.38,11.58,10.93,11.04,1.625915,1809715.0
2002-11-29,10.84,11.27,10.84,11.1,1.634752,1191895.0
2002-12-02,11.2,11.43,11.2,11.3,1.664207,1046495.0
2002-12-03,11.4,11.59,11.2,11.28,1.661262,1266800.0
