Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,6.26364,6.51212,6.21667,6.44848,0.000333,22035948.0
2002-07-02,6.44545,6.53939,6.32576,6.35455,0.000328,17817591.0
2002-07-03,6.38939,6.38939,6.15758,6.21364,0.000321,8447340.0
2002-07-04,6.18485,6.29697,6.12273,6.18333,0.000319,6166347.0
2002-07-05,6.15909,6.27273,6.15909,6.22121,0.000321,5627919.0
2002-07-08,6.26818,6.27424,6.12121,6.15909,0.000318,3432264.0
2002-07-09,6.15909,6.27273,6.10606,6.13485,0.000317,6974715.0
2002-07-10,6.14848,6.17879,6.0,6.01515,0.000311,3645213.0
2002-07-11,6.01515,6.12121,5.83333,5.85909,0.000303,6792522.0
2002-07-12,5.9303,6.0,5.86818,5.91818,0.000306,6017517.0
2002-07-15,5.90909,5.93939,5.69697,5.85606,0.000302,4413750.0
2002-07-16,5.81515,6.0303,5.77576,5.95152,0.000307,6734607.0
2002-07-17,5.93939,5.96061,5.50303,5.59697,0.000289,11025729.0
2002-07-18,5.60303,5.83939,5.60303,5.78485,0.000299,7302009.0
2002-07-19,5.75455,6.37424,5.68636,6.29545,0.000325,59401287.0
2002-07-22,6.13939,6.42121,5.97727,6.12879,0.000317,80528943.0
2002-07-23,6.05758,6.59848,5.98485,6.51515,0.000337,81697374.0
2002-07-24,6.39394,6.52121,6.12424,6.18636,0.00032,51137658.0
2002-07-25,6.30303,6.63485,6.27879,6.51061,0.000336,50894118.0
2002-07-26,6.42121,6.51212,5.9697,6.03939,0.000312,24043206.0
2002-07-29,6.08182,6.11515,5.62121,5.83939,0.000302,35011251.0
2002-07-30,5.99091,6.06061,5.42879,5.57576,0.000288,13747107.0
2002-07-31,5.45455,5.93939,5.07576,5.77727,0.000298,39843276.0
2002-08-01,5.99394,5.99394,5.58182,5.62879,0.000291,21281007.0
2002-08-02,5.57424,5.62121,5.31061,5.44848,0.000281,16054467.0
2002-08-05,5.43636,5.70909,5.43636,5.58636,0.000289,13527162.0
2002-08-06,5.51212,5.87879,5.45758,5.85152,0.000302,20742777.0
2002-08-07,5.94242,6.4697,5.87879,6.29848,0.000325,54908766.0
2002-08-08,6.31818,6.36061,6.04091,6.10758,0.000315,22629189.0
2002-08-09,6.24242,6.42424,6.12879,6.38333,0.00033,30893412.0
2002-08-12,6.40909,6.54394,6.25758,6.47424,0.000334,23815671.0
