Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,17.025,17.75,16.75,17.4,16.66909,763704.0
2002-07-02,16.75,17.799999,16.75,17.75,17.004391,609678.0
2002-07-03,18.0,18.0,17.475,17.575001,16.836739,517918.0
2002-07-04,17.875,18.125,17.625,18.0,17.243883,1034914.0
2002-07-05,17.525,17.725,17.0,17.1,16.381693,814082.0
2002-07-08,17.125,17.35,16.875,17.0,16.285894,515568.0
2002-07-09,17.15,17.174999,16.725,16.775,16.070343,592620.0
2002-07-10,17.1,17.225,16.674999,16.725,16.022448,757276.0
2002-07-11,17.0,17.0,16.25,16.299999,15.615295,996498.0
2002-07-12,16.6,16.6,15.975,16.049999,15.375801,1093172.0
2002-07-15,16.0,16.174999,15.825,15.9,15.2321,552652.0
2002-07-16,15.475,16.0,15.475,15.875,15.20815,441766.0
2002-07-17,15.8,15.975,15.525,15.625,14.96865,441976.0
2002-07-18,16.049999,16.125,15.75,15.8,15.136302,222448.0
2002-07-19,15.95,15.975,15.75,15.8,15.136302,246690.0
2002-07-22,15.9,15.95,15.5,15.725,15.064453,388192.0
2002-07-23,15.75,15.75,15.275,15.55,14.896801,437770.0
2002-07-24,15.6,15.6,15.25,15.4,14.753104,225430.0
2002-07-25,15.75,16.0,15.575,15.6,14.944702,354594.0
2002-07-26,15.3,15.5,15.075,15.25,14.609404,394366.0
2002-07-29,15.75,15.75,15.125,15.25,14.609404,442774.0
2002-07-30,15.75,15.75,15.175,15.225,14.585455,421430.0
2002-07-31,15.25,15.8,14.65,15.675,15.016553,854748.0
2002-08-01,15.5,15.55,14.95,15.125,14.489654,555836.0
2002-08-02,15.05,15.15,14.9,15.075,14.441756,252688.0
2002-08-05,15.15,15.25,15.05,15.1,14.465708,119818.0
2002-08-06,15.175,15.175,14.95,15.0,14.369905,243720.0
2002-08-07,15.225,15.275,14.9,15.0,14.369905,265704.0
2002-08-08,15.175,15.175,14.925,15.0,14.369905,164424.0
2002-08-09,14.975,15.1,14.925,15.0,14.369905,202904.0
2002-08-12,15.0,15.15,14.9,15.125,14.489654,148848.0
2002-08-13,15.075,15.25,15.0,15.175,14.537556,63672.0
2002-08-14,15.075,15.25,15.075,15.15,14.513605,74158.0
2002-08-16,15.25,15.875,15.125,15.675,15.016553,297378.0
2002-08-19,15.6,16.25,15.4,16.125,15.44765,343276.0
2002-08-20,16.4,16.799999,16.049999,16.549999,15.854792,597266.0
2002-08-21,16.875,16.875,16.0,16.625,15.926646,250394.0
2002-08-22,16.75,16.75,16.075001,16.15,15.471598,171112.0
2002-08-23,16.25,16.5,16.049999,16.275,15.591346,154944.0
2002-08-26,16.4,16.5,16.1,16.174999,15.495549,87324.0
2002-08-27,16.174999,16.275,16.025,16.049999,15.375801,117514.0
2002-08-28,16.15,16.15,15.725,15.975,15.303951,161212.0
2002-08-29,16.0,16.049999,15.525,15.55,14.896801,119768.0
2002-08-30,15.5,16.450001,15.425,16.25,15.567397,428272.0
2002-09-02,16.5,16.924999,16.325001,16.475,15.782948,414590.0
2002-09-03,16.375,16.375,16.049999,16.225,15.543447,189778.0
2002-09-04,16.0,16.799999,16.0,16.450001,15.758996,355352.0
2002-09-05,16.65,16.75,16.450001,16.5,15.806898,225274.0
2002-09-06,16.75,16.75,16.15,16.25,15.567397,210056.0
2002-09-09,16.049999,16.450001,15.875,15.925,15.25605,403046.0
2002-09-11,16.299999,16.299999,15.85,15.95,15.28,77248.0
2002-09-12,16.0,17.15,15.9,16.25,15.567397,507486.0
2002-09-13,16.475,17.25,16.25,17.025,16.309841,2539350.0
2002-09-16,17.1,17.674999,16.225,17.125,16.405642,987304.0
2002-09-17,17.375,17.525,17.0,17.424999,16.693041,2392904.0
2002-09-18,17.450001,17.625,17.075001,17.15,16.429592,389814.0
2002-09-19,16.799999,17.5,15.325,15.7,15.040502,6446346.0
2002-09-20,15.75,17.075001,15.5,16.85,16.142197,1145994.0
2002-09-23,16.924999,16.950001,16.25,16.325001,15.63925,155954.0
2002-09-24,16.25,16.25,15.5,15.575,14.920752,944626.0
2002-09-25,15.5,16.299999,15.45,15.825,15.160252,677938.0
2002-09-26,15.75,16.049999,15.6,15.675,15.016553,302902.0
2002-09-27,15.95,16.174999,15.625,16.0,15.327898,269004.0
2002-09-30,16.0,16.0,15.6,15.65,14.992601,185008.0
