Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,14.66,15.1,14.6,14.94,1.304399,3758400.0
2000-01-04,15.0,15.0933,14.2167,14.3567,1.253471,3538335.0
2000-01-05,13.6667,14.8,13.6667,14.12,1.232806,3580725.0
2000-01-06,14.2667,15.25,14.2667,15.13,1.320988,10005150.0
2000-01-07,15.0,15.2667,14.34,14.4733,1.263652,9049230.0
2000-01-10,15.0,15.2667,13.54,14.6933,1.28286,8293575.0
2000-01-11,14.34,14.86,13.6967,14.1167,1.232517,6966765.0
2000-01-12,14.4667,14.7933,14.3333,14.6667,1.280537,4449855.0
2000-01-13,14.9267,15.0,13.8,13.9167,1.215055,9651285.0
2000-01-14,14.2,14.2667,13.87,14.1267,1.233391,4792095.0
2000-01-17,14.3267,14.6433,13.9667,14.0467,1.226406,7593495.0
2000-01-18,14.2,14.3267,14.0,14.0967,1.230771,7941915.0
2000-01-19,14.6,15.2267,14.3967,14.9233,1.302941,13697310.0
2000-01-20,15.0,15.0,14.3667,14.4067,1.257837,3542265.0
2000-01-21,14.4,14.46,14.22,14.32,1.250267,5770590.0
2000-01-24,14.3667,14.4,13.7333,13.8367,1.208071,4634925.0
2000-01-25,13.7333,13.86,13.4667,13.53,1.181293,6922935.0
2000-01-27,13.8567,13.9333,13.1533,13.2967,1.160924,7318995.0
2000-01-28,13.07,13.07,12.6,12.6867,1.107665,6851745.0
2000-01-31,12.6667,12.7,11.6733,11.6733,1.019186,3838125.0
2000-02-01,11.4,12.61,11.1667,12.2733,1.071572,17598525.0
2000-02-02,12.66,13.2567,12.2667,12.8067,1.118142,29959530.0
2000-02-03,12.9333,13.5333,12.8667,13.1267,1.146081,18779760.0
2000-02-04,13.1,13.2667,12.2333,12.3767,1.0806,15370305.0
2000-02-07,12.4933,12.7067,12.2333,12.2867,1.072742,7285755.0
2000-02-08,12.5333,12.5333,12.0367,12.3233,1.075937,12337485.0
2000-02-09,12.5333,12.98,12.4033,12.6,1.100096,10387875.0
2000-02-10,12.5667,12.7667,12.1833,12.24,1.068664,4897215.0
2000-02-11,12.4,12.6,11.8,11.8933,1.038394,7741725.0
2000-02-14,11.4033,11.9633,11.21,11.3167,0.988052,4732065.0
2000-02-15,11.2,11.6667,10.4133,10.52,0.918493,12543765.0
2000-02-16,10.9333,11.0667,10.2,10.5,0.916746,19986735.0
2000-02-17,10.5267,10.93,10.34,10.4733,0.914415,8110830.0
2000-02-18,10.3,10.3533,9.63667,9.66333,0.843697,20385615.0
2000-02-21,9.8,10.4367,9.8,10.43,0.910635,18992340.0
2000-02-22,10.6,10.65,9.82,9.91667,0.865816,18456480.0
2000-02-23,10.3467,10.4667,9.86667,9.91,0.865234,8072985.0
2000-02-24,10.0533,10.1867,9.79667,10.05,0.877457,4479060.0
2000-02-25,10.1367,10.26,9.66667,9.71,0.847772,6084495.0
2000-02-28,9.78333,10.4667,9.53333,10.39,0.907142,9989775.0
2000-02-29,10.4667,10.8333,9.56,9.7,0.846899,12688800.0
2000-03-01,9.86333,10.0,9.33333,9.48667,0.828273,11400045.0
2000-03-02,9.7,9.72667,8.73,8.73,0.762209,13463100.0
2000-03-03,8.53333,8.66667,8.1,8.18333,0.71448,11421660.0
2000-03-06,8.36667,8.84,8.36667,8.82,0.770067,10848210.0
2000-03-07,8.66667,8.91333,8.2,8.29,0.723793,11092890.0
2000-03-08,8.52667,8.95333,8.34,8.84333,0.772104,10567695.0
2000-03-09,9.2,9.2,8.38667,8.79,0.767448,8422290.0
2000-03-10,8.99333,8.99333,8.17,8.23,0.718554,6982650.0
2000-03-13,8.33333,8.46667,8.13333,8.16,0.712443,4996710.0
2000-03-14,8.24333,8.61,8.07,8.34,0.728158,13221630.0
2000-03-15,8.53333,8.91,8.33333,8.38333,0.731942,14885685.0
2000-03-16,8.37,8.5,8.14,8.20333,0.716226,7792800.0
2000-03-21,8.39,8.86,8.01,8.78667,0.767157,16242000.0
2000-03-22,9.05333,9.49,8.89667,9.24333,0.807028,17970495.0
2000-03-23,9.3,9.3,8.67333,8.76333,0.765119,8820255.0
2000-03-24,8.67333,8.92667,8.35333,8.77667,0.766284,7855125.0
2000-03-27,8.8,8.98,8.66667,8.76,0.764828,6087480.0
2000-03-28,8.72333,9.23333,8.50667,9.08667,0.79335,11243385.0
2000-03-29,9.6,9.6,8.8,8.83667,0.771522,3956745.0
2000-03-30,8.68667,8.76667,8.13,8.35,0.729032,14269845.0
2000-03-31,8.21667,8.56667,8.02,8.37667,0.73136,11642010.0
2000-04-03,8.42,8.95667,8.41333,8.85,0.772686,19019325.0
2000-04-04,8.63333,8.8,8.14333,8.14333,0.710987,9979425.0
2000-04-05,8.73,8.73,8.0,8.13,0.709824,8962545.0
2000-04-06,8.23333,8.26667,7.6,7.85333,0.685668,7748970.0
2000-04-07,7.98667,8.33333,7.93333,8.20667,0.716517,19780725.0
2000-04-10,8.3,8.68,8.2,8.37,0.730778,24896040.0
2000-04-11,8.22,8.33333,7.73333,8.2,0.715935,9395145.0
2000-04-12,8.26667,8.56,8.23333,8.26,0.721174,10662900.0
2000-04-13,8.08667,8.18,7.83333,8.02333,0.70051,8783490.0
2000-04-17,7.86667,8.0,7.4,7.81333,0.682175,8322165.0
2000-04-18,7.93,7.99,7.31333,7.42,0.647834,15023130.0
2000-04-19,7.63,7.63,6.82667,6.84,0.597195,22521990.0
2000-04-20,6.66667,6.66667,6.32667,6.45,0.563144,32434665.0
2000-04-24,6.51333,6.51667,5.93667,6.02,0.525601,11754705.0
2000-04-25,5.66667,6.26667,5.54,6.15,0.536952,29234850.0
2000-04-26,6.39667,6.64333,6.32333,6.64333,0.580023,21414810.0
2000-04-27,6.72667,7.0,6.6,6.85333,0.598359,22063170.0
2000-04-28,6.86667,6.98667,6.54,6.73,0.587591,12863385.0
2000-05-02,6.82667,6.93333,6.52,6.83,0.596322,23733810.0
2000-05-03,6.66667,7.06,6.33333,6.91667,0.603889,21114855.0
2000-05-04,6.94,7.31333,6.94,7.14333,0.796389,15262335.0
2000-05-05,7.16,7.41667,7.10667,7.31333,0.815342,17946120.0
2000-05-08,7.41667,7.59333,7.3,7.44,0.829464,12546360.0
2000-05-09,7.34333,7.52667,7.20667,7.47,0.832809,8379690.0
2000-05-10,7.53333,7.7,7.37667,7.48,0.833923,13795965.0
2000-05-11,7.33667,7.36,7.12,7.16667,0.798991,9391065.0
2000-05-12,7.23333,7.29667,6.60667,6.77,0.754768,17199660.0
2000-05-15,6.72667,6.9,6.52667,6.84667,0.763315,9378255.0
2000-05-16,6.93667,7.25,6.86333,7.13667,0.795647,12082170.0
2000-05-17,7.26667,7.3,7.07667,7.14,0.796018,9131505.0
2000-05-18,7.06667,7.16667,6.57,6.71333,0.74845,25450380.0
2000-05-19,6.76667,6.85333,6.65667,6.76333,0.754024,10852590.0
2000-05-22,6.68,6.85333,6.62,6.73,0.750308,7120365.0
2000-05-23,6.73333,6.79667,6.65,6.72667,0.749937,12634515.0
2000-05-24,6.8,6.97667,6.66,6.95,0.774835,7238715.0
2000-05-25,6.98667,7.45333,6.98,7.17333,0.799734,13143540.0
2000-05-26,7.18667,7.96667,7.11333,7.81667,0.871458,19297710.0
2000-05-29,8.24667,8.66667,7.93333,8.32667,0.928316,20553855.0
2000-05-30,8.3,8.73333,8.04333,8.66667,0.966222,18247695.0
2000-05-31,8.99667,8.99667,7.97333,8.12667,0.906019,24426570.0
2000-06-01,7.9,8.06667,7.86667,7.95667,0.887066,7077210.0
2000-06-02,8.06,8.2,7.78,7.84,0.874058,10172775.0
2000-06-05,7.96667,8.19333,7.83333,7.88333,0.87889,9823800.0
2000-06-06,7.83667,8.23333,7.76667,8.16333,0.910106,11273700.0
2000-06-07,8.26667,8.44,8.18333,8.30667,0.926087,9472110.0
2000-06-08,8.33333,8.8,8.27,8.73,0.973282,19096800.0
2000-06-09,8.87333,8.92667,8.47667,8.65,0.964363,11477055.0
2000-06-12,8.56667,8.76667,8.46667,8.53,0.950985,7045530.0
2000-06-13,8.46667,8.93333,8.34333,8.83,0.984431,10014630.0
2000-06-14,8.93333,9.19333,8.85,8.95333,0.998181,10922625.0
2000-06-15,8.99333,9.03,8.73333,8.8,0.981086,6808500.0
2000-06-16,8.83333,8.91667,8.62667,8.68,0.967708,6340215.0
2000-06-19,8.79667,9.21,8.66667,8.96333,0.999296,12548370.0
2000-06-20,9.0,9.06667,8.84,9.02,1.005614,6211260.0
