Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,8.61,8.675,8.535,8.585,4.006679,2331240.0
2002-07-02,8.575,8.615,8.525,8.585,4.006679,925272.0
2002-07-03,8.585,8.64,8.54,8.585,4.006679,1304064.0
2002-07-04,8.66,8.665,8.54,8.56,3.995011,1589202.0
2002-07-05,8.635,9.0,8.565,8.815,4.11402,3139716.0
2002-07-08,9.25,9.435,9.0,9.2,4.293703,3198990.0
2002-07-09,9.325,9.325,8.935,8.985,4.193362,1227414.0
2002-07-10,9.115,9.335,8.815,8.91,4.158357,2063592.0
2002-07-11,8.95,8.95,8.79,8.815,4.11402,833010.0
2002-07-12,9.0,9.0,8.735,8.785,4.100019,731904.0
2002-07-15,8.815,8.815,8.6,8.625,4.025347,447222.0
2002-07-16,8.665,8.665,8.535,8.56,3.995011,563910.0
2002-07-17,8.54,8.575,8.385,8.41,3.925004,1429992.0
2002-07-18,8.515,8.54,8.415,8.49,3.96234,647460.0
2002-07-19,8.565,8.565,8.415,8.465,3.950674,600246.0
2002-07-22,8.5,8.5,8.015,8.09,3.775659,1284174.0
2002-07-23,8.09,8.335,7.815,7.99,3.728988,909546.0
2002-07-24,7.96,8.04,7.84,7.96,3.714988,856566.0
2002-07-25,8.035,8.275,8.035,8.135,3.79666,546036.0
2002-07-26,8.05,8.16,7.865,7.965,3.717321,789396.0
2002-07-29,8.06,8.21,7.66,7.765,3.62398,503064.0
2002-07-30,7.835,8.085,7.61,7.665,3.577308,533520.0
2002-07-31,7.835,7.835,7.525,7.74,3.612311,794052.0
2002-08-01,7.76,8.04,7.685,7.95,3.71032,604092.0
2002-08-02,7.665,8.04,7.665,7.975,3.721988,304596.0
2002-08-05,8.085,8.485,7.96,8.135,3.79666,457794.0
2002-08-06,8.035,8.165,8.01,8.115,3.787325,339018.0
2002-08-07,8.175,8.25,8.05,8.175,3.815329,457122.0
2002-08-08,8.1,8.15,7.715,7.81,3.644981,794556.0
2002-08-09,7.875,8.085,7.79,8.06,3.761658,264414.0
2002-08-12,8.085,8.125,7.94,8.01,3.738322,172794.0
2002-08-13,7.985,8.3,7.94,8.175,3.815329,375816.0
2002-08-14,8.0,8.165,8.0,8.09,3.775659,238728.0
2002-08-16,8.065,8.165,8.015,8.11,3.784992,256134.0
