Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,1.295,1.375,1.295,1.3725,20.513847,21640.0
2002-07-02,1.38,1.38,1.325,1.3295,19.871151,14300.0
2002-07-03,1.3585,1.45,1.351,1.3685,20.454063,185700.0
2002-07-04,1.375,1.415,1.375,1.4015,20.947289,41690.0
2002-07-05,1.4,1.41,1.3805,1.3955,20.857613,310550.0
2002-07-08,1.4085,1.41,1.3755,1.395,20.850142,12430.0
2002-07-09,1.38,1.435,1.38,1.4085,21.051912,27670.0
2002-07-10,1.4,1.405,1.385,1.397,20.880035,20690.0
2002-07-11,1.365,1.405,1.365,1.384,20.685728,15000.0
2002-07-12,1.375,1.375,1.355,1.375,20.551216,3850.0
2002-07-15,1.36,1.36,1.327,1.344,20.087879,6660.0
2002-07-16,1.34,1.34,1.3105,1.3205,19.736635,11600.0
2002-07-17,1.335,1.34,1.295,1.327,19.833788,13570.0
2002-07-18,1.3105,1.35,1.3105,1.3485,20.155134,8580.0
2002-07-19,1.326,1.359,1.326,1.345,20.102829,11330.0
2002-07-22,1.3445,1.355,1.3365,1.346,20.117767,49460.0
2002-07-23,1.26,1.335,1.255,1.327,19.833788,5100.0
2002-07-24,1.33,1.345,1.33,1.3445,20.095348,17600.0
2002-07-25,1.345,1.3585,1.33,1.348,20.147667,32310.0
2002-07-26,1.3235,1.336,1.3165,1.3285,19.856209,10360.0
2002-07-29,1.3125,1.33,1.307,1.33,19.878632,31630.0
2002-07-30,1.325,1.33,1.313,1.321,19.744114,14450.0
2002-07-31,1.275,1.275,1.2305,1.255,18.757656,154090.0
2002-08-01,1.2705,1.2775,1.25,1.2565,18.780073,8700.0
2002-08-02,1.2285,1.2975,1.2055,1.2225,18.271898,16710.0
2002-08-05,1.25,1.26,1.18,1.193,17.830984,10900.0
2002-08-06,1.2195,1.2195,1.19,1.198,17.905712,6880.0
2002-08-07,1.205,1.225,1.192,1.1965,17.883291,14490.0
2002-08-08,1.2,1.205,1.191,1.1975,17.898235,2900.0
2002-08-09,1.1985,1.245,1.185,1.21,18.085072,14240.0
2002-08-12,1.2175,1.225,1.215,1.2175,18.197165,5120.0
2002-08-13,1.2125,1.2195,1.205,1.2115,18.107487,1870.0
2002-08-14,1.1905,1.1995,1.17,1.177,17.591841,6540.0
2002-08-16,1.18,1.184,1.1405,1.1455,17.121027,6650.0
2002-08-19,1.179,1.198,1.1635,1.197,17.890772,10510.0
2002-08-20,1.2,1.2125,1.18,1.197,17.890772,3540.0
2002-08-21,1.19,1.2,1.19,1.2,17.935602,1500.0
2002-08-22,1.2,1.215,1.2,1.215,18.159803,2010.0
2002-08-23,1.2125,1.2125,1.2115,1.2115,18.107487,700.0
2002-08-26,1.21,1.21,1.19,1.1955,17.868345,4320.0
2002-08-27,1.1995,1.1995,1.185,1.1885,17.763721,3610.0
2002-08-28,1.2,1.2075,1.185,1.2075,18.047703,6550.0
2002-08-29,1.209,1.224,1.2,1.224,18.294319,7900.0
2002-08-30,1.202,1.22,1.202,1.204,17.995392,5130.0
2002-09-02,1.205,1.2325,1.1825,1.191,17.80109,8910.0
2002-09-03,1.1905,1.2,1.185,1.2,17.935602,800.0
2002-09-04,1.2,1.2,1.1705,1.1755,17.56942,1340.0
2002-09-05,1.181,1.225,1.18,1.204,17.995392,22310.0
2002-09-06,1.1825,1.1825,1.18,1.18,17.636679,250.0
2002-09-09,1.1805,1.1805,1.125,1.139,17.02388,14860.0
2002-09-11,1.16,1.16,1.123,1.1365,16.986509,10000.0
2002-09-12,1.14,1.15,1.117,1.147,-4.006071,2270.0
2002-09-13,1.1155,1.145,1.115,1.1265,-3.934473,13750.0
2002-09-16,1.135,1.149,1.11,1.1125,-3.885575,5770.0
2002-09-17,1.115,1.115,1.0915,1.11,-3.876844,1230.0
2002-09-18,1.095,1.095,1.0805,1.089,-3.803498,6750.0
2002-09-19,1.085,1.085,1.011,1.0425,-3.64109,12360.0
2002-09-20,1.03,1.0595,1.03,1.044,-3.64633,1020.0
2002-09-23,1.055,1.055,1.035,1.0375,-3.623627,1070.0
2002-09-24,1.026,1.035,1.0065,1.008,-3.520593,9280.0
2002-09-25,1.0,1.0,0.9725,0.976,-3.408828,13770.0
2002-09-26,0.975,0.9795,0.9555,0.959,-3.349453,16180.0
2002-09-27,0.94,0.949,0.9345,0.935,-3.26563,18070.0
2002-09-30,0.93,0.98,0.925,0.957,-3.342468,11200.0
2002-10-01,0.9925,0.9925,0.965,0.9875,-3.448994,66820.0
2002-10-03,0.985,1.0,0.985,0.999,-3.489159,2320.0
2002-10-04,0.99,0.9995,0.985,0.9945,-3.473443,5600.0
2002-10-07,1.0015,1.045,1.001,1.0135,-3.539802,57380.0
2002-10-08,1.025,1.025,1.015,1.015,-3.545042,2050.0
2002-10-09,1.0245,1.0245,1.01,1.0165,-3.550281,3550.0
2002-10-10,1.0235,1.0235,1.0005,1.02,-3.562505,7240.0
2002-10-11,1.03,1.035,1.0055,1.02,-3.562505,3740.0
