Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,1.646,1.646,1.606,1.61,0.062524,13593600.0
2002-07-02,1.643,1.643,1.501,1.597,0.062019,13536000.0
2002-07-03,1.643,1.643,1.622,1.624,0.063068,12928000.0
2002-07-04,1.625,1.625,1.501,1.569,0.060932,16505600.0
2002-07-05,1.641,1.641,1.563,1.563,0.060699,14464000.0
2002-07-08,1.643,1.643,1.579,1.584,0.061515,16492800.0
2002-07-09,1.641,1.641,1.6,1.63,0.063301,18873600.0
2002-07-10,1.641,1.668,1.625,1.668,0.064777,18457600.0
2002-07-11,1.685,1.688,1.588,1.588,0.06167,23718400.0
2002-07-12,1.646,1.646,1.613,1.613,0.062641,13120000.0
2002-07-15,1.65,1.65,1.572,1.609,0.062485,13664000.0
2002-07-16,1.613,1.613,1.578,1.61,0.062524,13536000.0
2002-07-17,1.646,1.687,1.576,1.584,0.061515,13824000.0
2002-07-18,1.624,1.625,1.6,1.625,0.063107,13504000.0
2002-07-19,1.625,1.625,1.6,1.625,0.063107,13248000.0
2002-07-22,1.65,1.65,1.525,1.541,0.059845,17408000.0
2002-07-23,1.625,1.625,1.525,1.528,0.05934,18912000.0
2002-07-24,1.659,1.659,1.563,1.584,0.061515,12992000.0
2002-07-25,1.588,1.588,1.575,1.575,0.061165,12832000.0
2002-07-26,1.65,1.65,1.559,1.563,0.060699,13152000.0
2002-07-29,1.625,1.625,1.5,1.531,0.059456,13568000.0
2002-07-30,1.625,1.625,1.5,1.514,0.058796,14784000.0
2002-07-31,1.625,1.625,1.556,1.562,0.06066,13004800.0
2002-08-01,1.624,1.624,1.551,1.553,0.060311,14611200.0
2002-08-02,1.62,1.62,1.525,1.6,0.062136,14886400.0
2002-08-05,1.625,1.625,1.563,1.619,0.062874,13939200.0
2002-08-06,1.625,1.625,1.588,1.625,0.063107,12960000.0
2002-08-07,1.624,1.624,1.588,1.622,0.06299,13088000.0
2002-08-08,1.624,1.624,1.564,1.569,0.060932,40160000.0
2002-08-09,1.624,1.624,1.475,1.581,-0.103473,13824000.0
2002-08-12,1.623,1.623,1.575,1.608,-0.10524,12940800.0
2002-08-13,1.622,1.622,1.575,1.619,-0.10596,6528000.0
2002-08-14,1.62,1.623,1.581,1.623,-0.106222,12928000.0
2002-08-16,1.624,1.624,1.584,1.606,-0.105109,12992000.0
2002-08-19,1.625,1.625,1.575,1.581,-0.103473,12864000.0
2002-08-20,1.619,1.619,1.569,1.588,-0.103931,12934400.0
2002-08-21,1.625,1.625,1.588,1.594,-0.104324,12864000.0
2002-08-22,1.625,1.625,1.55,1.55,-0.101444,12960000.0
2002-08-23,1.624,1.624,1.575,1.579,-0.103342,12960000.0
2002-08-26,1.624,1.624,1.576,1.597,-0.10452,13753600.0
2002-08-27,1.563,1.617,1.55,1.601,-0.104782,14854400.0
2002-08-28,1.624,1.624,1.513,1.563,-0.102295,14489600.0
2002-08-29,1.623,1.623,1.545,1.563,-0.102295,13248000.0
2002-08-30,1.624,1.624,1.519,1.575,-0.10308,13030400.0
2002-09-02,1.619,1.619,1.563,1.563,-0.102295,12876800.0
2002-09-03,1.613,1.613,1.526,1.538,-0.100659,14758400.0
2002-09-04,1.625,1.625,1.538,1.55,-0.101444,13043200.0
2002-09-05,1.613,1.613,1.563,1.613,-0.105567,12940800.0
2002-09-06,1.594,1.594,1.525,1.526,-0.099873,14124800.0
2002-09-09,1.624,1.624,1.513,1.513,-0.099023,13024000.0
2002-09-11,1.588,1.588,1.531,1.559,-0.102033,13568000.0
2002-09-12,1.594,1.594,1.569,1.569,-0.102688,12864000.0
2002-09-13,1.624,1.624,1.525,1.544,-0.101052,13568000.0
2002-09-16,1.613,1.613,1.55,1.553,-0.101641,12864000.0
2002-09-17,1.55,1.561,1.475,1.544,-0.101052,13568000.0
2002-09-18,1.588,1.588,1.516,1.516,-0.099219,12979200.0
2002-09-19,1.55,1.55,1.5,1.544,-0.101052,12960000.0
2002-09-20,1.544,1.544,1.513,1.513,-0.099023,13337600.0
2002-09-23,1.6,1.6,1.5,1.501,-0.098237,13600000.0
2002-09-24,1.563,1.563,1.475,1.475,-0.096536,13958400.0
2002-09-25,1.55,1.55,1.531,1.531,-0.100201,13024000.0
2002-09-26,1.55,1.55,1.504,1.504,-0.098434,14144000.0
2002-09-27,1.55,1.55,1.5,1.533,-0.100332,13299200.0
2002-09-30,1.613,1.613,1.5,1.525,-0.099808,13222400.0
2002-10-01,1.6,1.6,1.547,1.547,-0.101248,12832000.0
2002-10-03,1.6,1.6,1.438,1.469,-0.096143,13696000.0
2002-10-04,1.55,1.55,1.531,1.538,-0.100659,12864000.0
2002-10-07,1.549,1.549,1.531,1.538,-0.100659,12864000.0
2002-10-08,1.559,1.559,1.519,1.531,-0.100201,12947200.0
2002-10-09,1.531,1.531,1.394,1.53,-0.100135,13472000.0
2002-10-10,1.531,1.531,1.476,1.531,-0.100201,12928000.0
2002-10-11,1.525,1.536,1.525,1.536,-0.100528,12864000.0
2002-10-16,1.55,1.55,1.5,1.544,-0.101052,13491200.0
2002-10-17,1.55,1.55,1.4,1.428,-0.09346,17273600.0
2002-10-18,1.559,1.559,1.438,1.486,-0.097256,13190400.0
2002-10-21,1.5,1.5,1.429,1.429,-0.093525,14720000.0
