Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,1.985,1.99,1.96,1.975,0.967659,201700.0
2002-08-13,1.99,1.99,1.95,1.975,0.967659,127950.0
2002-08-14,2.0,2.015,1.95,1.955,0.95786,107610.0
2002-08-16,1.95,1.97,1.93,1.95,0.95541,218170.0
2002-08-19,1.94,1.945,1.92,1.925,1.26839,301350.0
2002-08-20,1.945,1.945,1.915,1.93,1.271684,134900.0
2002-08-21,1.975,1.98,1.925,1.96,1.291452,410650.0
2002-08-22,1.95,1.965,1.905,1.93,1.271684,145180.0
2002-08-23,1.93,1.975,1.925,1.935,1.274979,283240.0
2002-08-26,1.95,1.97,1.92,1.925,1.26839,275970.0
2002-08-27,1.945,1.945,1.925,1.925,1.26839,288260.0
2002-08-28,1.94,1.95,1.925,1.935,1.274979,84050.0
2002-08-29,1.93,1.96,1.9,1.945,1.281568,375910.0
2002-08-30,1.925,1.975,1.925,1.965,1.294746,174310.0
2002-09-02,1.97,2.0,1.965,1.975,1.301335,522050.0
2002-09-03,1.98,1.98,1.96,1.97,1.298041,157900.0
2002-09-04,1.935,1.97,1.935,1.95,1.284862,330500.0
2002-09-05,1.96,1.985,1.91,1.93,1.271684,127320.0
2002-09-06,1.945,1.95,1.91,1.93,1.271684,131590.0
2002-09-09,1.85,1.88,1.81,1.85,1.218972,1034950.0
2002-09-11,1.88,1.88,1.84,1.86,1.225561,94040.0
2002-09-12,1.78,1.89,1.78,1.89,1.245328,265450.0
2002-09-13,1.875,1.92,1.845,1.845,1.215677,124170.0
2002-09-16,1.86,1.86,1.805,1.815,1.19591,191630.0
2002-09-17,1.835,1.835,1.79,1.79,1.179438,164450.0
2002-09-18,1.8,1.8,1.75,1.765,1.162965,211990.0
2002-09-19,1.72,1.765,1.715,1.72,1.133315,206270.0
2002-09-20,1.765,1.765,1.705,1.755,1.156376,150910.0
2002-09-23,1.795,1.81,1.75,1.775,1.169554,84300.0
2002-09-24,1.8,1.8,1.71,1.77,1.16626,100080.0
2002-09-25,1.75,1.775,1.72,1.735,1.143198,15720.0
2002-09-26,1.78,1.78,1.715,1.73,1.139904,36890.0
2002-09-27,1.73,1.75,1.73,1.745,1.149787,38400.0
2002-09-30,1.725,1.74,1.705,1.725,1.136609,46510.0
2002-10-01,1.7,1.735,1.7,1.705,1.123431,91000.0
2002-10-03,1.71,1.71,1.66,1.675,1.103664,147390.0
2002-10-04,1.6,1.69,1.6,1.675,1.103664,106120.0
2002-10-07,1.7,1.735,1.675,1.705,1.123431,731350.0
