Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,18.5,18.9,18.299999,18.6,13.779693,84409.0
2002-07-02,18.6,19.0,18.5,18.65,13.816733,34616.0
2002-07-03,18.65,19.0,17.65,17.950001,13.298147,89445.0
2002-07-04,18.25,18.35,17.9,18.0,13.335184,58765.0
2002-07-05,17.85,18.200001,17.65,18.1,13.40927,30847.0
2002-07-08,18.25,18.85,18.25,18.549999,13.742651,60407.0
2002-07-09,18.6,18.85,18.299999,18.549999,13.742651,50930.0
2002-07-10,18.9,18.9,18.200001,18.25,13.5204,42355.0
2002-07-11,18.0,18.4,17.9,18.0,13.335184,26325.0
2002-07-12,18.0,18.0,17.5,17.65,13.075892,32957.0
2002-07-15,17.35,17.799999,17.049999,17.15,12.70547,34568.0
2002-07-16,17.0,17.549999,17.0,17.299999,12.816597,31833.0
2002-07-17,17.4,17.4,17.0,17.049999,12.631385,22651.0
2002-07-18,17.200001,17.25,16.799999,16.85,12.483219,11050.0
2002-07-19,16.799999,17.15,16.700001,17.0,12.594341,11950.0
2002-07-22,16.4,16.75,16.15,16.299999,12.075753,31590.0
2002-07-23,16.200001,16.450001,16.0,16.15,11.964626,39520.0
2002-07-24,15.8,16.25,15.8,16.0,11.8535,24985.0
2002-07-25,16.6,16.6,16.1,16.35,12.112797,24071.0
2002-07-26,16.4,16.4,15.8,15.85,11.742374,64231.0
2002-07-29,15.85,15.9,15.5,15.8,11.705333,52025.0
2002-07-30,17.0,17.0,15.7,16.0,11.8535,31304.0
2002-07-31,15.95,16.5,15.6,15.9,11.779418,27554.0
2002-08-01,16.5,16.5,16.0,16.1,11.927585,23971.0
2002-08-02,16.0,16.200001,15.9,16.0,11.8535,33639.0
2002-08-05,16.200001,16.450001,16.15,16.4,12.149835,41042.0
2002-08-06,16.6,16.6,16.25,16.35,12.112797,8592.0
2002-08-07,16.75,16.75,16.4,16.450001,12.186879,24862.0
2002-08-08,16.450001,16.65,16.049999,16.1,11.927585,24957.0
2002-08-09,16.200001,16.200001,15.85,15.95,11.816459,8215.0
2002-08-12,15.8,16.299999,15.8,16.15,11.964626,16159.0
2002-08-13,15.8,16.1,15.6,16.0,11.8535,7450.0
2002-08-14,16.049999,16.25,16.0,16.200001,12.001669,15137.0
2002-08-16,16.15,16.450001,16.15,16.299999,12.075753,15068.0
2002-08-19,16.25,16.4,16.200001,16.299999,12.075753,6417.0
2002-08-20,16.4,16.5,16.0,16.25,12.038713,43801.0
2002-08-21,16.299999,16.75,16.1,16.15,11.964626,25113.0
2002-08-22,16.65,16.65,15.85,15.95,11.816459,20192.0
2002-08-23,16.0,16.200001,15.55,16.0,11.8535,47754.0
2002-08-26,16.0,16.299999,16.0,16.1,11.927585,10811.0
2002-08-27,16.25,16.25,15.9,15.9,11.779418,23259.0
2002-08-28,16.25,16.799999,16.1,16.15,11.964626,19546.0
2002-08-29,16.35,16.35,16.0,16.049999,11.890542,17870.0
2002-08-30,15.95,16.0,15.85,15.9,11.779418,27692.0
2002-09-02,16.0,16.25,15.95,16.049999,11.890542,19826.0
2002-09-03,16.0,16.15,16.0,16.049999,11.890542,10655.0
2002-09-04,16.0,16.049999,15.9,15.95,11.816459,11565.0
2002-09-05,16.0,16.15,16.0,16.049999,11.890542,12808.0
2002-09-06,16.1,16.15,15.9,16.0,11.8535,16233.0
2002-09-09,16.0,16.200001,16.0,16.1,11.927585,24243.0
2002-09-11,16.1,16.4,16.1,16.35,12.112797,22785.0
2002-09-12,19.6,19.6,16.6,17.950001,13.298147,102613.0
2002-09-13,17.799999,18.1,17.5,17.6,13.03885,42666.0
2002-09-16,17.5,17.799999,17.35,17.549999,13.001808,37459.0
2002-09-17,17.65,17.799999,17.5,17.65,13.075892,32100.0
2002-09-18,16.700001,17.0,16.25,16.450001,13.236827,57165.0
2002-09-19,16.299999,16.4,15.7,15.8,12.713792,30765.0
2002-09-20,15.8,15.95,15.4,15.5,12.47239,20550.0
2002-09-23,15.95,15.95,14.65,15.0,12.070055,44035.0
2002-09-24,15.1,15.35,14.75,15.0,12.070055,45495.0
2002-09-25,14.9,15.0,14.8,15.0,12.070055,4909.0
2002-09-26,14.95,15.1,14.25,14.35,11.54702,51288.0
2002-09-27,14.3,14.85,14.3,14.75,11.868887,15154.0
2002-09-30,14.9,15.25,14.8,14.85,11.949356,8832.0
2002-10-01,14.85,14.9,14.55,14.75,11.868887,8483.0
2002-10-03,14.95,14.95,13.55,14.0,11.265385,26195.0
2002-10-04,14.1,14.55,14.0,14.35,11.54702,16328.0
2002-10-07,14.35,14.65,14.35,14.6,11.748188,13419.0
2002-10-08,14.6,14.8,14.45,14.5,11.667718,21754.0
2002-10-09,14.4,14.85,14.4,14.55,11.707953,15249.0
2002-10-10,14.55,14.8,14.25,14.7,11.828655,14913.0
2002-10-11,14.5,14.8,14.0,14.2,11.426318,19890.0
2002-10-14,14.45,14.5,13.9,14.0,11.265385,15970.0
2002-10-16,14.0,14.2,13.85,13.9,11.184916,25936.0
2002-10-17,13.95,14.0,13.75,13.9,11.184916,9740.0
2002-10-18,14.0,14.0,13.85,13.9,11.184916,8755.0
2002-10-21,14.0,14.0,13.85,13.9,11.184916,6125.0
2002-10-22,14.0,14.0,13.5,13.6,10.943519,33870.0
2002-10-23,13.5,13.75,13.5,13.7,11.023983,14554.0
2002-10-24,13.85,13.85,13.6,13.65,10.983749,11851.0
2002-10-25,13.55,13.75,13.5,13.6,10.943519,13630.0
2002-10-28,13.5,13.95,13.4,13.7,11.023983,9581.0
2002-10-29,13.8,13.95,13.7,13.9,11.184916,7002.0
2002-10-30,14.0,14.0,13.75,13.9,11.184916,14573.0
2002-10-31,14.1,14.2,13.85,14.0,11.265385,24445.0
2002-11-01,12.75,14.45,12.75,14.3,11.506786,34830.0
2002-11-04,14.4,14.55,14.25,14.45,11.627487,12301.0
2002-11-05,14.7,14.75,14.3,14.65,11.78842,22707.0
2002-11-07,14.7,15.15,14.25,14.25,11.466552,26133.0
2002-11-08,14.0,14.7,14.0,14.35,11.54702,10837.0
2002-11-11,14.5,14.75,14.35,14.4,11.587254,10241.0
2002-11-12,14.35,14.6,14.2,14.45,11.627487,10750.0
2002-11-13,14.3,14.45,14.15,14.15,11.386086,5901.0
2002-11-14,14.35,14.45,14.3,14.35,11.54702,6550.0
2002-11-15,14.2,14.3,13.9,14.0,11.265385,34474.0
2002-11-18,14.05,14.35,14.05,14.25,11.466552,7890.0
2002-11-20,14.7,14.7,14.2,14.5,11.667718,15486.0
2002-11-21,14.5,14.65,14.3,14.35,11.54702,9230.0
2002-11-22,14.6,14.75,14.45,14.65,11.78842,11754.0
2002-11-25,14.75,15.3,14.75,15.05,12.110288,23561.0
2002-11-26,15.25,15.5,15.2,15.35,12.351688,13934.0
2002-11-27,15.15,15.8,15.15,15.4,12.391923,22770.0
2002-11-28,15.4,15.8,15.4,15.6,12.552855,20670.0
2002-11-29,15.9,15.95,15.3,15.5,12.47239,40610.0
2002-12-02,15.75,16.0,15.5,15.6,12.552855,42725.0
2002-12-03,15.8,16.5,15.5,15.65,12.593092,25258.0
2002-12-04,15.6,15.7,15.4,15.45,12.432156,10192.0
2002-12-05,15.1,15.65,15.1,15.55,12.512623,7735.0
2002-12-06,15.55,16.0,15.55,15.95,12.834494,23875.0
2002-12-09,15.0,16.299999,15.0,15.9,12.794258,33842.0
2002-12-10,15.35,15.85,15.3,15.6,12.552855,30057.0
2002-12-11,15.85,16.6,15.6,15.7,12.633326,24487.0
2002-12-12,16.5,16.6,15.5,16.0,12.874726,49863.0
2002-12-13,16.200001,16.5,16.0,16.450001,13.236827,32256.0
2002-12-16,16.9,17.0,16.15,16.299999,13.116126,55557.0
2002-12-17,16.450001,16.450001,15.6,16.200001,13.035659,26688.0
2002-12-18,16.5,17.0,16.299999,16.5,13.277061,89411.0
2002-12-19,16.450001,16.75,16.25,16.4,13.196591,51723.0
2002-12-20,16.15,16.700001,16.1,16.549999,13.317292,31142.0
2002-12-23,16.9,16.9,16.1,16.1,12.955193,43862.0
2002-12-24,16.0,16.5,16.0,16.5,13.277061,15450.0
2002-12-26,16.450001,16.65,16.200001,16.25,13.075894,22818.0
2002-12-27,16.25,16.450001,16.0,16.25,13.075894,49685.0
2002-12-30,16.1,16.1,15.45,15.6,12.552855,59252.0
2002-12-31,15.5,15.75,15.3,15.5,12.47239,79960.0
2003-01-01,15.55,15.8,15.5,15.5,12.47239,88375.0
2003-01-02,15.75,15.8,15.5,15.6,12.552855,62300.0
2003-01-03,15.55,15.6,15.4,15.5,12.47239,38920.0
2003-01-06,15.45,15.65,15.25,15.35,12.351688,17550.0
2003-01-07,15.5,15.5,15.1,15.15,12.190756,25400.0
2003-01-08,15.35,15.5,15.2,15.4,12.391923,32413.0
2003-01-09,15.3,15.6,15.25,15.35,12.351688,75721.0
2003-01-10,15.5,15.95,15.4,15.55,12.512623,74187.0
2003-01-13,15.9,15.9,15.35,15.5,12.47239,70531.0
2003-01-14,15.7,16.700001,15.65,16.25,13.075894,173312.0
2003-01-15,16.9,17.1,16.5,16.75,13.478229,149671.0
2003-01-16,17.1,17.5,16.75,17.25,13.880563,239757.0
2003-01-17,17.6,17.700001,17.15,17.299999,13.920798,98608.0
2003-01-20,17.1,17.950001,17.0,17.700001,14.242665,117657.0
2003-01-21,17.700001,18.6,17.700001,18.35,14.765703,194366.0
2003-01-22,18.9,18.9,18.0,18.1,14.56453,150550.0
2003-01-23,18.0,18.299999,17.25,17.450001,14.041499,111642.0
2003-01-24,17.549999,17.6,16.25,16.549999,13.317292,99713.0
2003-01-27,16.5,16.5,15.5,15.6,12.552855,89186.0
2003-01-28,15.7,15.95,15.3,15.7,12.633326,94575.0
2003-01-29,15.7,16.5,15.65,16.1,12.955193,102950.0
2003-01-30,16.6,16.6,15.5,15.8,12.713792,83850.0
2003-01-31,15.85,15.85,15.25,15.35,12.351688,160340.0
2003-02-03,15.7,16.35,15.7,16.1,12.955193,57131.0
2003-02-04,16.049999,16.6,16.049999,16.4,13.196591,68308.0
2003-02-05,16.450001,16.700001,16.15,16.25,13.075894,35852.0
2003-02-06,16.200001,16.35,16.0,16.25,13.075894,36961.0
2003-02-07,16.049999,16.15,15.85,16.049999,12.914958,48783.0
2003-02-10,16.4,16.4,15.9,16.200001,13.035659,57225.0
2003-02-11,16.15,16.299999,16.15,16.200001,13.035659,41351.0
2003-02-12,16.450001,16.450001,15.85,16.0,12.874726,68420.0
2003-02-14,15.75,16.1,15.7,15.95,12.834494,103385.0
2003-02-17,16.25,16.25,16.1,16.1,12.955193,83482.0
2003-02-18,16.299999,16.5,16.200001,16.25,13.075894,26310.0
2003-02-19,16.0,16.5,16.0,16.299999,13.116126,29050.0
2003-02-20,16.85,17.4,16.5,16.75,13.478229,95714.0
2003-02-21,16.85,16.85,16.700001,16.700001,13.437997,32352.0
2003-02-24,17.35,17.35,16.799999,16.9,13.598928,40520.0
2003-02-25,16.65,17.0,16.65,16.9,13.598928,90018.0
2003-02-26,16.85,17.0,16.65,16.700001,13.437997,24955.0
2003-02-27,16.85,16.9,16.6,16.85,13.558696,30620.0
2003-02-28,16.85,17.25,16.5,17.049999,13.719626,106328.0
2003-03-03,17.299999,17.6,17.15,17.299999,13.920798,63488.0
2003-03-04,17.15,17.299999,16.700001,16.75,13.478229,27845.0
2003-03-05,16.6,16.700001,16.4,16.65,13.39776,25940.0
2003-03-06,16.6,16.799999,16.5,16.549999,13.317292,25575.0
2003-03-07,16.299999,16.4,16.1,16.15,12.995424,55066.0
2003-03-10,16.200001,16.4,15.8,15.9,12.794258,38635.0
2003-03-11,15.65,15.95,15.4,15.9,12.794258,27745.0
2003-03-12,15.95,16.200001,15.7,16.0,12.874726,103519.0
2003-03-13,16.200001,16.200001,15.8,16.049999,12.914958,35215.0
2003-03-17,15.7,16.35,15.7,16.200001,13.035659,41475.0
2003-03-19,16.65,17.0,16.049999,16.200001,13.035659,42705.0
2003-03-20,16.25,16.549999,15.9,16.4,13.196591,39840.0
2003-03-21,16.15,16.549999,16.049999,16.4,13.196591,31623.0
2003-03-24,16.700001,16.700001,15.95,16.0,12.874726,36633.0
2003-03-25,15.9,16.1,15.8,16.0,12.874726,23136.0
2003-03-26,15.95,16.200001,15.9,16.0,12.874726,44898.0
2003-03-27,15.95,16.1,15.9,15.9,12.794258,28041.0
2003-03-28,16.700001,16.700001,15.85,15.9,12.794258,44437.0
2003-03-31,16.049999,16.049999,15.65,15.7,12.633326,21650.0
2003-04-01,15.5,15.95,15.5,15.85,12.754025,16151.0
2003-04-02,15.85,16.549999,15.85,16.4,13.196591,49018.0
2003-04-03,16.4,16.799999,16.25,16.65,13.39776,22324.0
2003-04-04,17.200001,17.35,16.700001,17.15,13.800097,31625.0
2003-04-07,17.15,18.15,17.1,17.950001,14.443835,119313.0
2003-04-08,18.5,19.25,18.15,19.0,15.288739,425248.0
2003-04-09,18.950001,19.549999,18.25,18.35,14.765703,199972.0
2003-04-10,18.6,18.6,18.0,18.049999,14.524297,112947.0
2003-04-11,18.35,18.65,18.049999,18.15,14.604768,97649.0
2003-04-15,18.4,18.5,18.049999,18.35,14.765703,45004.0
2003-04-16,18.700001,18.75,18.1,18.15,14.604768,42740.0
2003-04-17,18.15,18.35,17.9,18.15,14.604768,70533.0
2003-04-21,18.049999,18.299999,18.0,18.200001,14.645003,32212.0
2003-04-22,18.200001,18.25,18.0,18.15,14.604768,28181.0
2003-04-23,18.0,18.200001,17.9,18.049999,14.524297,54753.0
2003-04-24,17.9,18.0,17.6,17.700001,14.242665,45870.0
2003-04-25,17.4,17.9,17.4,17.799999,14.32313,25551.0
2003-04-28,17.9,18.15,17.75,18.0,14.484063,30022.0
2003-04-29,18.1,18.25,17.799999,17.85,14.363365,26977.0
2003-04-30,17.75,18.15,17.75,18.1,14.56453,50185.0
2003-05-02,18.299999,18.450001,18.1,18.35,14.765703,69413.0
2003-05-05,18.75,19.549999,18.65,19.450001,15.650839,170578.0
2003-05-06,19.799999,20.4,19.5,19.65,15.811773,202164.0
2003-05-07,19.799999,20.0,19.4,19.9,16.012943,116091.0
2003-05-08,19.950001,19.950001,19.6,19.700001,15.852009,90169.0
2003-05-09,19.299999,20.0,19.299999,19.65,15.811773,123436.0
2003-05-12,18.0,18.950001,18.0,18.1,14.56453,236972.0
2003-05-13,18.299999,18.450001,18.0,18.049999,14.524297,147713.0
2003-05-14,18.4,18.799999,18.1,18.4,14.805935,147520.0
2003-05-15,18.450001,19.35,18.4,18.9,15.208267,179261.0
2003-05-16,19.0,19.299999,18.5,18.65,15.007101,121832.0
2003-05-19,18.0,18.6,18.0,18.15,14.604768,62068.0
2003-05-20,16.25,18.65,16.25,18.549999,14.926634,101977.0
2003-05-21,18.049999,18.9,18.049999,18.5,14.886398,87371.0
2003-05-22,18.549999,18.9,18.299999,18.450001,14.846167,71401.0
2003-05-23,18.549999,18.9,18.450001,18.700001,15.04734,82263.0
2003-05-26,18.75,19.950001,18.75,19.799999,15.932474,166321.0
2003-05-27,20.25,21.0,20.049999,20.25,16.294577,580991.0
2003-05-28,21.0,21.0,19.799999,20.549999,16.535976,180006.0
2003-05-29,21.0,23.450001,20.65,22.200001,17.863684,802448.0
2003-05-30,22.5,22.9,21.15,21.5,17.300417,345084.0
2003-06-02,19.0,21.0,19.0,19.85,15.972708,239554.0
2003-06-03,19.799999,20.75,19.799999,20.299999,16.33481,100398.0
2003-06-04,20.6,21.0,20.15,20.9,16.81761,111775.0
2003-06-05,20.65,21.299999,20.049999,20.200001,16.254341,134878.0
2003-06-06,20.4,20.450001,19.65,19.85,15.972708,59875.0
2003-06-09,20.4,20.4,19.65,19.799999,15.932474,84610.0
2003-06-10,19.25,19.85,19.25,19.299999,15.530138,94167.0
2003-06-11,19.299999,20.15,19.200001,19.9,16.012943,94376.0
2003-06-12,20.549999,20.6,20.0,20.1,16.173874,78558.0
2003-06-13,20.299999,20.299999,19.75,20.25,16.294577,80520.0
2003-06-16,19.9,20.35,19.799999,19.9,16.012943,42984.0
2003-06-17,19.85,20.299999,19.85,20.200001,16.254341,69640.0
2003-06-18,20.0,20.25,19.75,19.799999,15.932474,57394.0
2003-06-19,19.75,20.0,19.4,19.549999,15.731304,47415.0
2003-06-20,19.65,19.9,19.4,19.65,15.811773,65823.0
2003-06-23,18.049999,20.0,18.049999,18.950001,15.248504,112719.0
2003-06-24,18.950001,19.200001,18.700001,18.75,15.087568,55363.0
2003-06-25,18.9,19.5,18.799999,19.15,15.409439,70072.0
2003-06-26,19.299999,19.9,18.75,19.299999,15.530138,109109.0
2003-06-27,19.700001,19.75,18.950001,19.25,15.489905,105252.0
2003-06-30,19.1,20.15,19.1,19.85,15.972708,190902.0
2003-07-01,19.65,19.75,19.35,19.5,15.691073,244661.0
2003-07-02,19.9,20.0,19.5,19.799999,15.932474,85237.0
2003-07-03,19.85,21.4,19.450001,20.950001,16.857845,303499.0
2003-07-04,21.5,21.6,20.0,21.049999,16.938309,279106.0
2003-07-07,20.1,21.6,19.049999,21.1,16.978544,126770.0
2003-07-08,20.299999,21.4,19.1,20.75,16.696913,83995.0
2003-07-09,20.049999,20.700001,20.0,20.1,16.173874,51702.0
2003-07-10,20.5,21.0,20.15,20.25,16.294577,57719.0
2003-07-11,20.6,20.9,20.0,20.15,16.214108,102800.0
2003-07-14,20.4,21.1,20.4,20.950001,16.857845,128310.0
2003-07-15,21.5,21.9,20.9,21.35,17.179714,169178.0
2003-07-16,21.5,22.85,21.4,22.6,18.185551,377101.0
2003-07-17,23.0,23.75,22.1,22.5,18.105082,437285.0
2003-07-18,21.549999,23.0,21.5,22.65,18.225784,169213.0
2003-07-21,24.0,24.85,23.200001,23.549999,18.949987,670420.0
2003-07-22,23.5,23.65,22.700001,22.799999,18.346483,300143.0
2003-07-23,23.25,23.450001,22.75,23.15,18.628117,146908.0
2003-07-24,23.65,24.15,23.0,23.6,18.990219,202152.0
2003-07-25,22.549999,24.0,22.549999,23.75,19.110922,172069.0
2003-07-28,23.75,24.35,23.299999,23.5,18.909756,134997.0
2003-07-29,23.4,23.700001,22.799999,23.1,18.587885,184801.0
2003-07-30,24.0,24.549999,23.5,24.299999,19.553486,359300.0
2003-07-31,24.549999,26.200001,24.5,25.299999,20.35816,739849.0
2003-08-01,25.5,26.65,24.700001,26.15,21.042128,568392.0
2003-08-04,25.9,27.0,25.9,26.5,21.323765,270574.0
2003-08-05,26.5,27.0,25.5,25.6,20.599566,258282.0
2003-08-06,25.75,26.299999,25.0,25.65,20.639791,175126.0
2003-08-07,26.0,26.0,25.25,25.4,20.438625,145472.0
2003-08-08,25.299999,25.75,24.9,25.15,20.237459,137877.0
2003-08-11,25.15,25.950001,25.0,25.1,20.197224,148346.0
2003-08-12,24.5,25.5,24.5,25.0,20.11676,98401.0
2003-08-13,24.5,25.0,24.5,24.700001,19.875357,132604.0
2003-08-14,24.799999,26.0,24.549999,25.450001,20.478861,206254.0
2003-08-18,25.950001,26.299999,25.0,25.950001,20.881189,203554.0
2003-08-19,26.700001,29.0,25.450001,25.6,20.599566,220132.0
2003-08-20,25.75,26.5,25.6,26.25,21.122597,161572.0
