Date,Open,High,Low,Close,Adj Close,Volume
2001-07-02,2.4025,2.475,2.4,2.4025,0.527183,110800.0
2001-07-03,2.475,2.475,2.375,2.4,0.526634,77520.0
2001-07-04,2.425,2.45,2.3875,2.42,0.531023,49360.0
2001-07-05,2.45,2.4725,2.4,2.415,0.529926,62700.0
2001-07-06,2.425,2.425,2.35,2.4,0.526634,117800.0
2001-07-09,2.375,2.425,2.35,2.38,0.522246,142180.0
2001-07-10,2.3525,2.4,2.3,2.34,0.513469,94600.0
2001-07-11,2.475,2.475,2.3,2.3,0.504691,77780.0
2001-07-12,2.325,2.35,2.3,2.3,0.504691,35400.0
2001-07-13,2.3,2.395,2.25,2.25,0.49372,80000.0
2001-07-16,2.25,2.3,2.225,2.225,0.488234,41900.0
2001-07-17,2.2,2.3,2.2,2.2575,0.495365,89780.0
2001-07-18,2.25,2.2725,2.105,2.245,0.492622,60800.0
2001-07-19,2.235,2.25,2.205,2.2275,0.488782,69100.0
2001-07-20,2.2,2.2475,2.1775,2.18,0.47836,57060.0
2001-07-23,2.0825,2.2,2.0825,2.2,0.482748,2100.0
2001-07-24,1.775,2.175,1.775,1.9975,0.438313,94120.0
2001-07-25,1.9875,2.12,1.935,2.0825,0.456965,144780.0
2001-07-26,2.1,2.1175,2.0325,2.1,0.460805,74480.0
2001-07-27,2.0975,2.125,2.055,2.115,0.464096,94060.0
2001-07-30,2.005,2.1125,2.005,2.0725,0.454771,67840.0
2001-07-31,2.0525,2.125,2.0525,2.1,0.460805,55520.0
2001-08-01,2.1025,2.15,2.1,2.1225,0.465742,89700.0
2001-08-02,2.105,2.125,2.075,2.11,0.462999,37340.0
2001-08-03,2.15,2.1575,2.1,2.1525,0.472325,93360.0
2001-08-06,2.15,2.1625,2.15,2.15,0.471777,2022020.0
2001-08-07,2.15,2.175,2.125,2.14,0.469582,126520.0
2001-08-08,2.155,2.1875,2.13,2.16,0.473971,55400.0
2001-08-09,2.15,2.17,2.15,2.165,0.475068,38960.0
2001-08-10,2.1575,2.1725,2.15,2.15,0.471777,27680.0
2001-08-13,2.2,2.2,2.15,2.15,0.471777,21700.0
2001-08-14,2.175,2.1875,2.15,2.15,0.471777,78620.0
2001-08-16,2.15,2.195,2.15,2.155,0.472874,84280.0
2001-08-17,2.15,2.175,2.15,2.15,0.471777,79700.0
2001-08-20,2.15,2.17,2.15,2.15,0.471777,15700.0
2001-08-21,2.15,2.1725,2.15,2.15,0.471777,34900.0
2001-08-23,2.145,2.1675,2.145,2.15,0.471777,64100.0
2001-08-24,2.15,2.1625,2.15,2.15,0.471777,56960.0
2001-08-27,2.15,2.1725,2.15,2.1625,0.474519,55880.0
2001-08-28,2.15,2.1625,2.15,2.1525,0.472325,51600.0
2001-08-29,2.175,2.175,2.15,2.1525,0.472325,26620.0
2001-08-30,2.15,2.1625,2.15,2.15,0.471777,20160.0
2001-08-31,2.15,2.175,2.15,2.155,0.472874,72440.0
2001-09-03,2.1925,2.2,2.15,2.1575,0.473422,70200.0
2001-09-04,2.2725,2.2725,2.15,2.15,0.471777,21020.0
2001-09-05,2.15,2.1625,2.15,2.15,0.471777,49560.0
2001-09-06,2.195,2.195,2.15,2.15,0.471777,75400.0
2001-09-07,2.15,2.17,2.15,2.1575,0.473422,49240.0
2001-09-10,2.15,2.17,2.15,2.15,0.471777,53280.0
2001-09-11,2.15,2.1675,2.125,2.15,0.471777,308500.0
2001-09-12,2.08,2.08,1.8,1.8875,0.414176,237560.0
2001-09-13,1.925,1.945,1.8875,1.8875,0.414176,71820.0
2001-09-14,1.8875,1.8875,1.575,1.605,0.352187,106140.0
2001-09-17,1.5,1.5,1.325,1.365,0.299523,294160.0
2001-09-18,1.3475,1.6375,1.3,1.6075,0.352735,156860.0
2001-09-19,1.605,1.845,1.6025,1.7875,0.392233,150040.0
2001-09-20,1.8,1.825,1.65,1.7275,0.379067,96520.0
2001-09-21,1.7275,2.075,1.7275,1.89,0.414724,341000.0
2001-09-24,2.095,2.095,1.9,2.0,0.438862,229800.0
2001-09-25,2.0,2.01,2.0,2.0,0.438862,171660.0
2001-09-26,2.01,2.045,1.9925,2.005,0.439959,129120.0
2001-09-27,2.01,2.075,2.0,2.0,0.438862,69200.0
2001-09-28,2.0225,2.025,2.0,2.0025,0.439411,92780.0
2001-10-01,2.0,2.005,2.0,2.0,0.438862,64280.0
2001-10-03,2.0125,2.015,2.0,2.0,0.438862,48620.0
2001-10-04,2.0025,2.0125,2.0,2.0025,0.439411,47900.0
2001-10-05,2.0,2.02,2.0,2.0175,0.442702,34780.0
2001-10-08,1.9,2.025,1.9,2.005,0.439959,176340.0
2001-10-09,2.0,2.085,2.0,2.025,0.444348,66640.0
2001-10-10,2.0,2.045,2.0,2.0425,0.448188,38840.0
2001-10-11,2.025,2.05,2.0,2.01,0.441056,39100.0
2001-10-12,2.0,2.0025,1.8875,1.9375,0.425148,42500.0
2001-10-15,1.865,1.95,1.8625,1.9,0.416919,114920.0
2001-10-16,1.8525,2.0,1.8525,1.99,0.436668,60420.0
2001-10-17,1.975,1.995,1.9025,1.92,0.421307,45580.0
2001-10-18,1.91,1.9425,1.9,1.9225,0.421856,33220.0
2001-10-19,1.9225,2.05,1.88,1.89,0.414724,65700.0
2001-10-22,1.925,2.0,1.905,1.9575,0.429536,97480.0
2001-10-23,1.95,2.02,1.95,1.99,0.436668,59400.0
2001-10-24,2.0,2.0,1.9525,1.9625,0.430633,25640.0
2001-10-25,2.095,2.095,1.98,1.9975,0.438313,38800.0
2001-10-29,2.0125,2.05,1.9375,1.95,0.42789,38100.0
2001-10-30,1.97,1.975,1.9325,1.95,0.42789,18100.0
2001-10-31,1.95,1.975,1.915,1.9475,0.427342,23000.0
2001-11-01,1.925,1.9475,1.9025,1.9275,0.422953,14600.0
2001-11-02,1.85,1.95,1.85,1.9125,0.419662,41840.0
2001-11-05,1.9,1.9725,1.9,1.955,0.428988,54760.0
2001-11-06,1.95,2.005,1.925,1.95,0.42789,140300.0
2001-11-07,1.93,1.96,1.925,1.9325,0.42405,40120.0
2001-11-08,1.8825,1.95,1.88,1.9275,0.422953,132880.0
2001-11-09,1.9575,1.99,1.925,1.97,0.432279,54300.0
2001-11-12,1.9875,2.025,1.955,1.96,0.430085,71680.0
2001-11-13,1.95,1.98,1.93,1.9575,0.429536,59360.0
2001-11-14,2.0,2.075,1.985,2.04,0.447639,201460.0
2001-11-15,2.39,2.45,2.1875,2.4225,0.531572,909260.0
2001-11-19,2.5,2.69,2.5,2.625,0.576006,567880.0
2001-11-20,2.63,2.65,2.3075,2.5,0.548577,264100.0
2001-11-21,2.3175,2.6,2.31,2.5225,0.553515,170140.0
2001-11-22,2.55,2.9,2.5,2.565,0.56284,817040.0
2001-11-23,2.74,2.74,2.575,2.5975,0.569972,253480.0
2001-11-26,2.6875,2.6875,2.55,2.6,0.570521,206760.0
2001-11-27,2.6,2.675,2.5,2.5225,0.553515,212120.0
2001-11-28,2.55,2.55,2.4,2.4075,0.52828,134100.0
2001-11-29,2.35,2.4475,2.325,2.41,0.528829,152200.0
2001-12-03,2.35,2.525,2.325,2.4825,0.544737,215580.0
2001-12-04,2.4425,2.485,2.425,2.47,0.541995,57140.0
2001-12-05,2.5025,2.54,2.4075,2.4775,0.54364,175700.0
2001-12-06,2.65,2.65,2.425,2.43,0.533217,345840.0
2001-12-07,2.4,2.4675,2.4,2.4275,0.532669,151240.0
2001-12-10,2.7,2.7,2.43,2.4675,0.541446,325440.0
2001-12-11,2.4275,2.595,2.3875,2.465,0.540897,270220.0
2001-12-12,2.45,2.5175,2.405,2.415,0.529926,77900.0
2001-12-13,2.475,2.5925,2.325,2.3725,0.5206,625740.0
2001-12-14,2.405,2.55,2.4,2.5325,0.555709,523560.0
2001-12-18,2.505,2.585,2.43,2.5175,0.552417,547580.0
2001-12-19,2.525,2.55,2.45,2.4725,0.542543,324640.0
2001-12-20,2.5,2.515,2.325,2.4875,0.545835,315500.0
2001-12-21,2.75,2.75,2.3625,2.47,0.541995,368460.0
2001-12-24,2.25,2.475,2.25,2.3925,0.524989,278480.0
2001-12-26,2.4475,2.55,2.4,2.4425,0.53596,132220.0
2001-12-27,2.405,2.5,2.405,2.4575,0.539252,294340.0
2001-12-28,2.35,2.505,2.35,2.4725,0.542543,346220.0
2001-12-31,2.75,2.75,2.5,2.5325,0.555709,167780.0
2002-01-01,2.4875,2.5425,2.4,2.455,0.538703,200200.0
2002-01-02,2.5,2.625,2.4425,2.5925,0.568875,181200.0
2002-01-03,2.55,2.6,2.545,2.575,0.565035,206400.0
2002-01-04,2.565,2.575,2.5,2.53,0.55516,135300.0
2002-01-07,2.525,3.0375,2.525,2.9475,0.646773,826980.0
2002-01-08,3.0,3.5375,3.0,3.3425,0.733448,1261880.0
2002-01-09,3.45,3.65,3.305,3.385,0.742774,1761780.0
2002-01-10,3.42,3.515,3.3125,3.39,0.743871,466260.0
2002-01-11,3.4675,3.95,3.4675,3.6075,0.791597,2103540.0
2002-01-14,3.745,4.325,3.745,4.0275,0.883758,1376960.0
2002-01-15,4.075,4.145,3.81,3.8525,0.845358,755560.0
2002-01-16,3.9475,3.9475,3.75,3.7525,0.823415,401600.0
2002-01-17,3.78,3.825,3.65,3.7575,0.824512,481840.0
2002-01-18,3.51,3.825,3.51,3.7525,0.823415,442400.0
2002-01-21,3.75,4.0,3.75,3.88,0.851392,420200.0
2002-01-22,3.875,4.1,3.85,3.9275,0.861815,612640.0
2002-01-23,3.9,3.95,3.75,3.8,1.699039,745720.0
2002-01-24,3.8475,3.85,3.65,3.6775,1.644267,564120.0
2002-01-25,3.6175,3.625,3.4,3.47,1.551491,725040.0
2002-01-28,3.555,3.555,3.38,3.425,1.53137,250100.0
2002-01-29,3.495,3.5,3.3525,3.3675,1.505662,217220.0
2002-01-30,3.35,3.36,3.105,3.1975,1.429652,506220.0
2002-01-31,3.5,3.8375,3.5,3.8375,1.715806,606500.0
2002-02-01,4.605,4.605,3.95,4.0925,1.829821,3624020.0
2002-02-04,4.0,4.175,3.775,3.92,1.752693,1488700.0
2002-02-05,3.845,4.08,3.7475,3.9025,1.744868,1195280.0
2002-02-06,4.145,4.145,3.875,3.9175,1.751575,730200.0
2002-02-07,3.99,3.99,3.75,3.7875,1.693449,464360.0
2002-02-08,3.875,3.965,3.8,3.8825,1.735926,715960.0
2002-02-11,3.885,4.15,3.8,4.0975,1.832056,1033440.0
2002-02-12,4.0525,4.2475,4.0525,4.09,1.828702,1095940.0
2002-02-13,4.1,4.235,4.0,4.105,1.835409,778700.0
2002-02-14,4.2,4.85,4.1225,4.7625,2.129387,4327600.0
2002-02-15,4.995,5.685,4.81,5.115,2.286995,4596540.0
2002-02-18,5.25,5.455,5.05,5.1,2.280289,3038600.0
2002-02-19,5.25,5.3,4.7,4.765,2.130505,1743320.0
2002-02-20,4.51,4.965,4.51,4.785,2.139448,955300.0
2002-02-21,5.3,5.7425,5.055,5.7425,2.567561,5833340.0
2002-02-22,5.745,6.235,5.65,5.805,2.595505,10981880.0
2002-02-25,5.8,5.9225,5.375,5.43,2.427838,2488040.0
2002-02-26,5.6,6.175,5.5,5.8125,2.598859,8642080.0
2002-02-27,5.8925,5.8925,5.4,5.545,2.479255,4568300.0
2002-02-28,5.675,5.95,5.28,5.425,2.425602,7103280.0
2002-03-01,5.05,6.25,5.05,6.1325,2.741936,6170260.0
2002-03-04,6.35,7.36,6.2,7.36,3.29077,12945600.0
2002-03-05,7.75,8.7425,7.3625,8.2175,3.674172,25667480.0
2002-03-06,8.1,8.845,7.8075,8.075,3.610458,30769060.0
2002-03-07,8.2,8.45,7.38,7.5425,3.372369,12986080.0
2002-03-08,7.84,7.9225,7.3475,7.495,3.351131,10045280.0
2002-03-11,7.685,7.685,7.0525,7.1525,3.197994,5368040.0
2002-03-12,7.3425,7.445,6.8525,6.9825,3.121984,11528740.0
2002-03-13,6.85,7.3825,6.85,7.275,3.252765,6897000.0
2002-03-14,7.2425,7.8325,7.2425,7.4625,3.3366,11751420.0
2002-03-15,7.5,7.695,7.3025,7.5125,3.358955,6787080.0
2002-03-18,7.63,7.695,7.125,7.1725,3.206936,2493920.0
2002-03-19,7.25,7.2875,6.95,7.0,3.129808,2191460.0
2002-03-20,7.2,7.2,6.6125,6.745,3.015794,2394100.0
2002-03-21,6.755,6.95,6.615,6.655,2.975553,1665980.0
2002-03-22,6.74,6.96,6.625,6.6975,2.994556,2558940.0
2002-03-26,6.605,6.7,6.4025,6.4375,2.878306,1018960.0
2002-03-27,6.45,6.5975,6.45,6.525,2.917428,1232520.0
2002-03-28,7.25,7.3425,6.5775,7.0875,3.168931,5659420.0
2002-04-01,7.25,7.59,7.25,7.36,3.29077,4351800.0
2002-04-02,7.395,7.9975,7.35,7.775,3.476323,8932240.0
2002-04-03,7.7475,8.5,7.6525,8.3175,3.718883,9201660.0
