Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,16.700001,17.0,16.68,16.99,2.710858,223670.0
2002-07-02,16.280001,16.700001,16.0,16.629999,3.759932,748555.0
2002-07-03,16.57,16.57,16.059999,16.17,3.655928,387850.0
2002-07-04,16.24,16.24,15.84,15.92,3.599405,188650.0
2002-07-05,16.200001,16.200001,15.9,16.07,3.63332,275475.0
2002-07-08,16.0,16.48,15.8,15.99,3.615232,236070.0
2002-07-09,16.32,16.32,15.9,16.02,3.622015,198935.0
2002-07-10,16.09,16.18,15.9,16.0,3.617493,161410.0
2002-07-11,15.9,16.6,15.8,15.99,3.615232,402230.0
2002-07-12,16.360001,16.360001,15.84,15.93,3.601666,130260.0
2002-07-15,16.0,16.0,15.16,15.29,3.456967,445625.0
2002-07-16,15.6,15.6,15.1,15.18,3.432096,243535.0
2002-07-17,15.11,15.3,14.9,15.12,3.418531,233110.0
2002-07-18,17.0,17.0,15.3,15.3,3.459228,115665.0
2002-07-19,15.4,15.54,15.32,15.45,3.493142,111775.0
2002-07-22,16.360001,16.4,14.2,14.9,3.36879,578885.0
2002-07-23,14.44,15.36,14.44,15.21,3.438879,158915.0
2002-07-24,15.3,15.55,15.11,15.37,3.475054,153090.0
2002-07-25,15.94,15.98,15.24,15.37,3.475054,157195.0
2002-07-26,15.4,15.62,15.0,15.39,3.479577,418445.0
2002-07-29,15.2,15.2,14.0,14.44,3.264788,557490.0
2002-07-30,14.72,14.94,13.95,13.98,3.160784,645035.0
2002-07-31,13.6,14.4,13.6,14.31,3.235395,175245.0
2002-08-01,14.56,14.76,14.23,14.43,3.262526,284885.0
2002-08-02,14.1,14.38,14.1,14.17,3.203742,138610.0
2002-08-05,14.4,14.49,14.15,14.33,3.239917,483800.0
2002-08-06,14.4,14.5,14.0,14.09,3.185654,350215.0
2002-08-07,14.35,14.35,14.11,14.2,3.210526,127170.0
2002-08-08,14.25,14.36,13.85,13.93,3.14948,334215.0
2002-08-09,14.1,14.3,13.91,14.22,3.215047,172495.0
2002-08-12,14.4,14.6,14.2,14.5,3.278353,121055.0
2002-08-13,14.58,14.76,14.4,14.68,3.319049,76935.0
2002-08-14,14.78,14.78,14.5,14.58,3.29644,60285.0
2002-08-16,14.7,14.7,14.37,14.44,3.264788,59450.0
2002-08-19,14.6,14.6,14.39,14.53,3.285136,57045.0
2002-08-20,14.59,14.77,14.5,14.63,3.307745,141970.0
2002-08-21,14.78,15.2,14.61,15.15,3.425314,821090.0
2002-08-22,15.19,15.19,14.55,14.62,3.305485,171425.0
2002-08-23,14.59,14.75,14.34,14.44,3.264788,450730.0
2002-08-26,14.42,14.7,14.33,14.42,3.260265,113080.0
2002-08-27,14.55,14.68,14.26,14.37,3.24896,97370.0
2002-08-28,14.5,14.5,14.24,14.29,3.230873,55585.0
2002-08-29,14.3,14.8,14.3,14.49,3.276092,118030.0
2002-08-30,14.68,14.68,14.4,14.45,3.267048,51930.0
2002-09-02,14.76,14.8,14.49,14.54,3.287397,131030.0
2002-09-03,14.6,14.75,14.45,14.66,3.314528,141130.0
2002-09-04,14.4,15.02,14.4,14.95,3.380095,270440.0
2002-09-05,14.21,15.05,14.21,14.98,3.386878,141740.0
2002-09-06,14.7,15.05,14.7,15.0,3.391399,185950.0
2002-09-09,14.41,14.9,14.41,14.66,3.314528,225180.0
2002-09-11,14.6,14.94,14.6,14.68,3.319049,207775.0
2002-09-12,14.78,14.83,14.56,14.59,3.298701,137675.0
2002-09-13,14.63,14.69,14.42,14.47,3.271571,190640.0
2002-09-16,14.96,14.96,14.38,14.44,3.264788,141470.0
2002-09-17,14.45,14.56,14.37,14.4,3.255744,107385.0
2002-09-18,14.3,14.68,14.3,14.57,3.294179,86935.0
2002-09-19,14.6,14.68,14.25,14.59,3.298701,188945.0
2002-09-20,14.25,14.69,14.24,14.62,3.305485,70360.0
2002-09-23,14.7,15.2,14.45,14.73,3.330354,182185.0
2002-09-24,14.5,15.15,14.46,14.55,3.289657,92540.0
2002-09-25,14.4,14.74,14.35,14.65,3.312267,70320.0
2002-09-26,14.47,14.88,14.47,14.76,3.337137,87665.0
2002-09-27,14.88,15.2,14.65,14.86,3.359747,42775.0
2002-09-30,14.7,14.8,14.64,14.76,3.337137,62715.0
2002-10-01,14.62,14.79,14.6,14.74,3.332615,74215.0
2002-10-03,14.8,14.83,14.6,14.64,3.310006,128635.0
2002-10-04,14.61,14.75,14.53,14.61,3.303223,44480.0
2002-10-07,14.8,14.98,14.55,14.59,3.298701,72265.0
2002-10-08,14.68,14.7,14.49,14.54,3.287397,105630.0
2002-10-09,14.55,14.6,14.44,14.48,3.273831,34470.0
2002-10-10,14.4,14.6,14.4,14.57,3.294179,49190.0
2002-10-11,14.69,14.79,14.11,14.3,3.233134,206485.0
2002-10-14,14.4,14.49,14.2,14.26,3.22409,40210.0
2002-10-16,14.38,14.5,14.23,14.45,3.267048,54015.0
2002-10-17,14.36,14.41,14.22,14.25,3.22183,60260.0
2002-10-18,14.12,14.5,14.12,14.38,3.251222,129950.0
2002-10-21,14.5,14.5,14.3,14.38,3.251222,78685.0
2002-10-22,14.45,14.45,14.18,14.3,3.233134,78970.0
2002-10-23,14.0,14.0,12.7,12.76,2.884951,1001605.0
2002-10-24,12.9,13.05,12.72,12.8,2.893995,286675.0
2002-10-25,13.0,13.0,12.7,12.74,2.880429,108110.0
