Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.74792,2.74792,2.3845,2.63181,-0.000522,264320.0
2000-01-04,2.477,2.69374,2.477,2.57569,-0.000511,257085.0
2000-01-05,2.59311,2.66239,2.49635,2.50486,-0.000497,246233.0
2000-01-06,2.56602,2.69374,2.5544,2.58614,-0.000513,861817.0
2000-01-07,2.60007,2.63568,2.477,2.50719,-0.000498,574631.0
2000-01-10,2.5157,2.59233,2.5157,2.57143,-0.00051,336666.0
2000-01-11,2.54279,2.57763,2.36902,2.38798,-0.000474,749940.0
2000-01-12,2.5544,2.57763,2.48474,2.5753,-0.000511,299976.0
2000-01-13,2.74018,2.7634,2.61633,2.63413,-0.000523,489754.0
2000-01-14,2.59311,2.70922,2.59311,2.65039,-0.000526,177764.0
2000-01-17,2.63181,2.63181,2.56989,2.61207,-0.000519,210061.0
2000-01-18,2.56989,2.58421,2.5157,2.55634,-0.000507,291966.0
2000-01-19,2.5544,2.63181,2.4383,2.60201,-0.000517,1109084.0
2000-01-20,2.50138,2.58537,2.44642,2.54937,-0.000506,2938007.0
2000-01-21,2.5544,2.58846,2.51648,2.53892,-0.000504,9420175.0
2000-01-24,2.5544,2.5544,2.40811,2.46616,-0.00049,1780219.0
2000-01-25,2.477,2.477,2.37714,2.41275,-0.000479,381106.0
2000-01-27,2.39185,2.45765,2.39185,2.43055,-0.000483,201534.0
2000-01-28,2.39998,2.44565,2.38411,2.43404,-0.000483,200888.0
2000-01-31,2.39185,2.39185,2.24672,2.25562,-0.000448,215099.0
2000-02-01,2.31445,2.32141,2.20608,2.2591,-0.000448,271942.0
2000-02-02,2.39959,2.39959,2.25252,2.292,-0.000455,507065.0
2000-02-03,2.24478,2.29819,2.2293,2.24478,-0.000446,117562.0
2000-02-04,2.25329,2.28193,2.23743,2.27149,-0.000451,200372.0
2000-02-07,2.17511,2.23704,2.11358,2.1635,-0.00043,242487.0
2000-02-08,2.20608,2.20608,2.09887,2.13641,-0.000424,386274.0
2000-02-09,2.16737,2.16737,2.08997,2.12867,-0.000423,1483085.0
2000-02-10,2.1666,2.29896,2.1666,2.29587,-0.000456,414179.0
2000-02-11,2.26723,2.29122,2.12867,2.16737,-0.00043,432136.0
2000-02-14,2.22156,2.22156,2.12944,2.13564,-0.000424,315737.0
2000-02-15,2.08997,2.16737,2.08997,2.14144,-0.000425,491563.0
2000-02-16,2.16737,2.24478,2.15963,2.16737,-0.00043,206702.0
2000-02-17,2.22117,2.22117,2.13061,2.17318,-0.000431,149342.0
2000-02-18,2.24401,2.24401,2.09771,2.16002,-0.000429,151797.0
2000-02-21,2.11319,2.16737,2.09771,2.16737,-0.00043,347388.0
2000-02-22,2.11396,2.19253,2.11396,2.13138,-0.000423,413920.0
2000-02-23,2.14415,2.24478,2.06752,2.0981,-0.000417,323617.0
2000-02-24,2.15963,2.20608,2.10545,2.12557,-0.000422,297134.0
2000-02-25,2.12867,2.23704,2.07449,2.11319,-0.00042,427485.0
2000-02-28,2.07449,2.24478,2.05126,2.19098,-0.000435,258506.0
2000-02-29,2.2293,2.23704,2.05126,2.10971,-0.000419,757045.0
2000-03-01,2.05901,2.16737,2.05901,2.16737,-0.00043,54905.0
2000-03-02,2.02804,2.16737,2.02804,2.0741,-0.000412,394671.0
2000-03-03,2.05126,2.15963,1.94367,2.02069,-0.000401,363278.0
2000-03-06,1.89723,2.01256,1.86007,1.88871,-0.000375,494792.0
2000-03-07,1.75015,2.03965,1.75015,1.97541,-0.000392,829520.0
2000-03-08,1.97386,1.97386,1.81905,1.82872,-0.000363,355915.0
2000-03-09,1.75789,1.93516,1.75712,1.89336,-0.000376,217166.0
2000-03-10,1.85775,1.96612,1.85775,1.89568,-0.000376,255277.0
2000-03-13,1.81905,2.04701,1.81905,2.00598,-0.000398,336666.0
2000-03-14,1.93516,2.01256,1.90419,1.96263,-0.00039,499056.0
2000-03-15,1.97386,2.11319,1.96612,2.02456,-0.000402,666484.0
2000-03-16,2.10545,2.10545,1.96612,1.98934,-0.000395,220267.0
2000-03-21,1.93516,2.14415,1.93516,2.08765,-0.000414,247396.0
2001-07-02,2.7247,3.03556,2.7247,3.03556,-0.000603,5491.0
2001-07-03,2.7247,2.7247,2.7247,2.7247,-0.000541,4037.0
2001-07-04,2.90985,2.90985,2.90985,2.90985,-0.000578,81.0
2001-07-05,2.73708,2.73708,2.7247,2.7247,-0.000541,150020.0
2001-07-06,2.90923,2.90923,2.78662,2.78662,-0.000553,16552.0
2001-07-09,2.477,2.80396,2.477,2.80396,-0.000557,484.0
2001-07-10,2.72532,2.81139,2.72532,2.81077,-0.000558,8639.0
2001-07-11,2.74451,2.78538,2.74451,2.78538,-0.000553,16229.0
2001-07-12,2.83307,2.84793,2.83307,2.84731,-0.000565,72669.0
2001-07-13,2.79963,2.81263,2.79963,2.81139,-0.000558,41098.0
2001-07-16,2.84855,2.94701,2.84855,2.93524,-0.000583,20347.0
2001-07-17,2.91047,2.91047,2.91047,2.91047,-0.000578,9851.0
2001-07-18,2.88694,2.88694,2.77548,2.77548,-0.000551,82761.0
2001-07-19,2.78662,2.85474,2.78662,2.85474,-0.000567,5652.0
2001-07-20,2.7247,2.87332,2.7247,2.87332,-0.00057,13726.0
2001-07-24,2.7247,2.79282,2.7247,2.79282,-0.000554,21801.0
2001-07-25,2.84855,2.84855,2.78786,2.78848,-0.000554,86072.0
2001-07-26,2.78662,2.83369,2.78662,2.83369,-0.000563,5410.0
2001-07-27,2.78662,2.78662,2.78662,2.78662,-0.000553,807.0
2001-07-30,2.85969,2.85969,2.78662,2.80954,-0.000558,8478.0
2001-07-31,2.86093,2.86093,2.81759,2.84855,-0.000566,230844.0
2001-08-01,2.82502,2.82502,2.82502,2.82502,-0.000561,2422.0
2001-08-02,2.85226,2.85226,2.85226,2.85226,-0.004922,8074.0
2001-08-03,2.91047,2.91047,2.91047,2.91047,-0.005022,12111.0
2001-08-06,3.03432,3.07767,2.84855,2.89561,-0.004997,439645.0
2001-08-07,2.87208,2.87208,2.79901,2.79901,-0.00483,888.0
2001-08-08,2.82378,2.84793,2.78786,2.80025,-0.004832,18571.0
2001-08-09,2.79963,2.86093,2.79963,2.86093,-0.004937,1696.0
2001-08-13,2.84855,2.90304,2.84855,2.84855,-0.004915,14937.0
2001-08-14,2.84855,2.84855,2.78972,2.78972,-0.004814,14534.0
2001-08-16,2.79901,2.82378,2.78662,2.82006,-0.004866,851837.0
2001-08-17,2.84855,2.84855,2.84855,2.84855,-0.004915,4845.0
2001-08-20,2.98169,2.98169,2.79901,2.79901,-0.00483,25838.0
2001-08-21,2.78662,2.78662,2.7569,2.76495,-0.004771,60153.0
2001-08-23,2.8052,2.84855,2.78662,2.84855,-0.004915,102140.0
2001-08-24,2.84855,2.84855,2.78724,2.81077,-0.00485,188292.0
2001-08-27,2.81139,2.84855,2.7247,2.73213,-0.004714,289867.0
2001-08-28,2.72656,2.77424,2.7247,2.73213,-0.004714,549698.0
2001-08-29,2.75009,2.83616,2.71355,2.7247,-0.004702,395640.0
2001-08-31,2.73151,2.75504,2.7247,2.7247,-0.004702,392410.0
2001-09-03,2.70117,2.7247,2.70055,2.7247,-0.004702,13726.0
2001-09-04,2.79839,2.82687,2.79839,2.82687,-0.004878,16149.0
2001-09-05,2.76185,2.76185,2.72841,2.72965,-0.00471,9689.0
2001-09-06,2.7247,2.74947,2.7247,2.7247,-0.004702,27856.0
2001-09-07,2.70241,2.70302,2.70179,2.70302,-0.004664,4845.0
2001-09-10,2.72532,2.78662,2.72408,2.7247,-0.004702,9770.0
2001-09-11,2.77424,2.77424,2.7247,2.72532,-0.004703,79935.0
2001-09-12,2.67516,2.786,2.67516,2.77424,-0.004787,9689.0
2001-09-13,2.7247,2.73708,2.71231,2.71231,-0.00468,855875.0
2001-09-14,2.67887,2.67887,2.67764,2.67764,-0.00462,10497.0
2001-09-17,2.35315,2.60085,2.35315,2.60085,-0.004488,161.0
2001-09-18,2.62562,2.7247,2.62562,2.67082,-0.004609,18086.0
2001-09-19,2.77424,2.77424,2.59218,2.59404,-0.004476,8236.0
2001-09-20,2.60085,2.7247,2.59218,2.7247,-0.004702,18571.0
2001-09-21,2.62562,2.68754,2.62562,2.62686,-0.004533,8236.0
2001-09-24,2.7247,2.7247,2.53892,2.66277,-0.004595,262495.0
2001-09-25,2.68754,2.68754,2.60085,2.60333,-0.004492,9205.0
2001-09-27,2.50672,2.67516,2.50672,2.67516,-0.004616,4845.0
2001-09-28,2.60704,2.71231,2.60704,2.64234,-0.004559,242.0
2001-10-01,2.786,2.786,2.71851,2.71851,-0.004691,4199.0
2001-10-03,2.78229,2.78229,2.71231,2.71231,-0.00468,161.0
2001-10-04,2.71231,2.78662,2.71231,2.7247,-0.004702,24627.0
2001-10-05,2.7247,2.77424,2.7247,2.7699,-0.00478,9689.0
2001-10-08,2.57112,2.57112,2.57112,2.57112,-0.004437,81.0
2001-10-09,2.76,2.78043,2.76,2.76743,-0.004775,323.0
2001-10-10,2.78662,2.78662,2.68754,2.77424,-0.004787,68954.0
2001-10-11,2.76185,2.76185,2.76185,2.76185,-0.004766,807.0
2001-10-12,2.62562,2.74947,2.60085,2.74699,-0.00474,4096652.0
2001-10-15,2.60085,2.69002,2.52654,2.5575,-0.004413,58296.0
2001-10-16,2.66277,2.70612,2.66277,2.70612,-0.00467,33185.0
2001-10-17,2.61757,2.7247,2.53892,2.66897,-0.004605,12596.0
2001-10-18,2.67516,2.76185,2.67516,2.76185,-0.004766,2503.0
2001-10-19,2.72222,2.72222,2.63924,2.63924,-0.004554,20186.0
2001-10-22,2.54512,2.74947,2.54512,2.67949,-0.004624,29552.0
2001-10-23,2.73708,2.73708,2.73708,2.73708,-0.004723,4118.0
2001-10-24,2.786,2.78662,2.65039,2.73275,0.04909,62979.0
2001-10-25,2.76805,2.84855,2.69993,2.70179,0.048534,52160.0
2001-10-29,2.53892,2.76805,2.53892,2.76805,0.049724,5329.0
2001-10-30,2.66835,2.73708,2.66835,2.73708,0.049168,81550.0
2001-10-31,2.75442,2.75442,2.73089,2.73089,0.049056,7671.0
2001-11-01,2.73708,2.74328,2.7247,2.7247,0.048945,355915.0
2001-11-02,2.69126,2.7247,2.69126,2.7247,0.048945,95923.0
2001-11-06,2.7247,2.74947,2.7247,2.74947,0.04939,5975.0
2001-11-07,2.74947,2.74947,2.70117,2.70488,0.048589,58458.0
2001-11-08,2.69064,2.7247,2.69064,2.70055,0.048511,10335.0
2001-11-09,2.73089,2.73089,2.66277,2.68445,0.048222,49092.0
2001-11-12,2.786,2.786,2.69993,2.70612,0.048611,8074.0
2001-11-13,2.7247,2.7247,2.67578,2.72408,0.048934,22124.0
2001-11-14,2.69374,2.69374,2.69374,2.69374,0.048389,1776.0
2001-11-15,2.7247,2.7247,2.66835,2.66835,0.047933,16875.0
2001-11-19,2.71231,2.7247,2.69993,2.71293,0.048734,47881.0
2001-11-20,2.71231,2.71231,2.68878,2.6894,0.048311,19782.0
2001-11-21,2.71974,2.77114,2.71974,2.77114,0.049779,30036.0
2001-11-22,2.78662,2.79901,2.74513,2.78538,0.050035,14937.0
2001-11-23,2.786,2.83616,2.78538,2.83431,0.050914,40371.0
2001-11-26,2.83616,2.89747,2.81139,2.83554,0.050936,92854.0
2001-11-27,2.83616,2.83616,2.78662,2.82626,0.05077,34719.0
2001-11-28,2.82378,2.84855,2.82378,2.84174,0.051048,70731.0
2001-11-29,2.73708,2.82378,2.73708,2.81139,0.050503,20993.0
2001-12-03,2.76247,2.89871,2.75071,2.83678,0.050959,67501.0
2001-12-04,2.92905,2.92905,2.76247,2.786,0.050046,626807.0
2001-12-05,2.84855,2.84855,2.76185,2.79591,0.050224,362939.0
2001-12-06,2.86713,2.86713,2.7247,2.72594,0.048968,22850.0
2001-12-07,2.7247,2.77733,2.7247,2.76185,0.049613,29390.0
2001-12-10,2.76185,2.82378,2.72594,2.81449,0.050558,31086.0
2001-12-11,2.78662,2.84855,2.77424,2.80706,0.050425,16552.0
2001-12-12,2.89809,2.91047,2.81201,2.81201,0.050514,13969.0
2001-12-13,2.84855,2.84855,2.78662,2.80087,0.050314,35123.0
2001-12-14,2.61323,2.86093,2.61323,2.86093,0.051392,1696.0
2001-12-18,2.81139,2.89809,2.7247,2.79591,0.050224,19055.0
2001-12-19,2.78662,2.78662,2.78662,2.78662,0.050058,727.0
2001-12-20,2.73708,2.73708,2.73708,2.73708,0.049168,4037.0
2001-12-21,2.66277,2.73708,2.66277,2.67206,0.048,79855.0
2001-12-24,2.68754,2.78538,2.68754,2.78538,0.050035,415422.0
2001-12-26,2.7247,2.76185,2.68878,2.72594,0.048968,16552.0
2001-12-27,2.7247,2.84236,2.7247,2.76805,0.049724,42794.0
2001-12-28,2.80334,2.80334,2.80334,2.80334,0.050358,81.0
2001-12-31,2.72594,2.72594,2.50796,2.58413,0.04642,191603.0
2002-01-01,2.7247,2.7247,2.55255,2.58289,0.046398,42874.0
2002-01-02,2.60085,2.62314,2.58846,2.58846,0.046498,30117.0
2002-01-03,2.69931,2.69993,2.60085,2.67454,0.048044,26484.0
2002-01-04,2.53892,2.638,2.53892,2.6219,0.047099,54986.0
2002-01-07,2.73708,2.73708,2.56431,2.58661,0.046465,96811.0
2002-01-08,2.65658,2.65658,2.65658,2.65658,0.047722,2019.0
2002-01-09,2.57174,2.68135,2.57174,2.68135,0.048167,565.0
2002-01-10,2.65658,2.65658,2.65658,2.65658,0.047722,4037.0
2002-01-11,2.60394,2.62562,2.53892,2.54388,0.045697,88010.0
2002-01-14,2.59528,2.64915,2.5897,2.638,0.047388,36738.0
2002-01-15,2.63924,2.66277,2.5897,2.60456,0.046787,12515.0
2002-01-16,2.61385,2.71231,2.61385,2.65968,0.047777,23819.0
2002-01-17,2.65039,2.65039,2.60085,2.64977,0.047599,11304.0
2002-01-18,2.60394,2.6572,2.53892,2.58846,0.046498,18167.0
2002-01-21,2.71107,2.71107,2.65163,2.65163,0.047633,12192.0
2002-01-22,2.62871,2.66277,2.62686,2.66277,0.047833,6459.0
2002-01-23,2.62871,2.66277,2.56369,2.62686,0.047188,52483.0
2002-01-24,2.63305,2.7247,2.63305,2.72346,0.048923,46427.0
2002-01-25,2.7247,2.773,2.7247,2.76805,0.049724,18167.0
2002-01-28,2.82316,2.91047,2.76185,2.81201,0.050514,8086884.0
2002-01-29,2.83431,2.83431,2.73646,2.79715,0.050247,21801.0
2002-01-30,2.74947,2.84669,2.73708,2.79529,0.050213,45377.0
2002-01-31,2.84793,2.84793,2.66897,2.75009,0.049401,27776.0
2002-02-01,2.83616,2.84731,2.7247,2.78662,0.050058,35446.0
2002-02-04,2.82378,2.82378,2.78662,2.81325,0.050536,20670.0
2002-02-05,2.58846,2.79901,2.58846,2.7699,0.049757,197739.0
2002-02-06,2.78848,2.81759,2.78662,2.78662,0.050058,56116.0
2002-02-07,2.81139,2.99717,2.81139,2.84669,0.051137,380945.0
2002-02-08,2.84855,2.99283,2.79901,2.88385,0.051804,994833.0
2002-02-11,3.11421,3.11483,3.11421,3.11483,0.055953,222285.0
2002-02-12,3.36438,3.36438,3.11483,3.21329,0.057722,7307634.0
2002-02-13,3.2201,3.47089,3.19533,3.4678,0.062294,4757532.0
2002-02-14,3.35633,3.54211,3.32042,3.35819,0.060325,1396044.0
2002-02-15,3.34395,3.3681,3.28512,3.30679,0.059402,1210174.0
2002-02-18,3.34704,3.34704,3.23248,3.27335,0.058801,111344.0
2002-02-19,3.2201,3.28202,3.10925,3.13155,0.056254,3381270.0
2002-02-20,3.31918,3.31918,3.07024,3.07396,0.055219,495358.0
2002-02-21,3.09625,3.1557,3.09625,3.11297,0.05592,442148.0
2002-02-22,3.09934,3.1334,3.03432,3.10616,0.055798,192491.0
2002-02-25,3.09625,3.14455,3.09625,3.13278,0.056276,234316.0
2002-02-26,3.10925,3.24487,3.09749,3.2201,0.057844,4940495.0
2002-02-27,3.17861,3.31918,3.17861,3.17861,0.057099,258054.0
2002-02-28,3.2201,3.2201,3.0498,3.07581,0.055252,2961245.0
2002-03-01,3.11173,3.2814,3.11173,3.23744,0.058156,5070734.0
2002-03-04,3.30679,3.34395,3.26964,3.28202,0.058957,658943.0
2002-03-05,3.25725,3.30679,3.23991,3.24301,0.058256,401857.0
2002-03-06,3.30679,3.30679,3.20771,3.20771,0.057622,35042.0
2002-03-07,3.20771,3.2201,3.19595,3.20771,0.057622,30279.0
2002-03-08,3.20771,3.20771,3.17056,3.18728,0.057255,510295.0
2002-03-11,3.17056,3.2201,3.16127,3.17056,0.056954,421720.0
2002-03-12,3.18914,3.2201,3.16127,3.17056,0.056954,180864.0
2002-03-13,3.25725,3.30679,3.25725,3.2845,0.059001,105692.0
2002-03-14,3.25725,3.33156,3.19533,3.30246,0.059324,261203.0
2002-03-15,3.31794,3.31794,3.2201,3.28202,0.058957,79935.0
2002-03-18,3.28202,3.33156,3.25973,3.30184,0.059313,248284.0
2002-03-19,3.34333,3.34333,3.25725,3.26345,0.058623,260154.0
2002-03-20,3.19533,3.28202,3.17056,3.21762,0.0578,99717.0
2002-03-21,3.1718,3.28822,3.1718,3.28202,0.058957,43682.0
2002-03-22,3.31856,3.31856,3.24673,3.25663,0.058501,38030.0
2002-03-26,3.25849,3.29317,3.24487,3.25849,0.058534,137344.0
2002-03-27,3.26964,3.32909,3.26964,3.28202,0.058957,134356.0
2002-03-28,3.29317,3.31918,3.29317,3.29565,0.059202,129027.0
2002-04-01,3.23929,3.30679,3.23929,3.30679,0.059402,120388.0
2002-04-02,3.2201,3.40463,3.2201,3.34766,0.060136,243278.0
2002-04-03,3.35633,3.3681,3.32413,3.35633,0.060292,49334.0
2002-04-04,3.3811,3.44303,3.3811,3.40587,0.061181,117077.0
2002-04-05,3.45541,3.45541,3.41516,3.44922,0.06196,63868.0
2002-04-08,3.4678,3.65419,3.4678,3.56254,0.063996,549294.0
2002-04-09,3.64119,3.77061,3.59165,3.59289,0.064541,356238.0
2002-04-10,3.6994,4.27282,3.52972,4.00283,0.071905,3599921.0
2002-04-11,4.30998,4.30998,3.9632,3.99478,0.07176,1898346.0
2002-04-12,4.08705,4.08705,3.90127,3.99911,0.071838,1154946.0
2002-04-15,4.07157,4.14773,4.02946,4.07652,0.073229,474041.0
