Date,Open,High,Low,Close,Adj Close,Volume
2003-07-09,164.899994,170.399994,155.0,164.300003,151.84137,35164284.0
2003-07-10,167.0,168.699997,164.5,167.0,154.336624,10464179.0
2003-07-11,167.75,174.850006,166.25,173.350006,160.205109,11740117.0
2003-07-14,174.25,179.25,174.25,177.949997,164.456299,5982324.0
2003-07-15,200.0,200.0,173.0,176.199997,162.838989,6173689.0
2003-07-16,176.449997,179.100006,175.350006,177.100006,163.670776,3759085.0
2003-07-17,177.5,178.0,170.649994,172.199997,159.142288,3814181.0
2003-07-18,165.0,171.899994,160.0,167.399994,154.706284,5375212.0
2003-07-21,169.0,169.399994,163.050003,164.899994,152.395828,3315845.0
2003-07-22,164.0,169.149994,162.100006,167.25,154.567657,4627992.0
2003-07-23,170.5,178.0,169.800003,174.699997,161.452759,13262249.0
2003-07-24,175.899994,177.0,172.850006,174.100006,160.898239,4305936.0
2003-07-25,174.399994,175.0,172.100006,173.649994,160.482376,2832967.0
2003-07-28,188.0,188.0,175.100006,178.850006,165.288071,5415867.0
2003-07-29,179.949997,182.899994,179.100006,180.300003,166.628113,5229181.0
2003-07-30,181.25,184.75,180.100006,181.100006,167.367432,4632246.0
2003-07-31,181.699997,183.649994,179.649994,180.850006,167.136383,3562717.0
2003-08-01,182.0,189.0,178.75,187.149994,172.958649,8027285.0
2003-08-04,187.850006,198.5,185.0,197.600006,182.616257,9982429.0
2003-08-05,199.0,203.449997,192.850006,193.600006,178.919586,9651327.0
2003-08-06,191.5,197.5,189.850006,191.600006,177.071243,7451054.0
2003-08-07,193.5,196.0,192.25,195.399994,180.583084,3223676.0
2003-08-08,197.0,198.899994,196.0,197.149994,182.200394,2530289.0
2003-08-11,198.100006,203.800003,196.0,202.199997,186.867401,5651311.0
2003-08-12,203.800003,212.0,203.5,210.449997,194.491852,8215213.0
2003-08-13,213.0,219.5,212.0,217.800003,201.284546,7839204.0
2003-08-14,223.0,224.399994,215.0,216.550003,200.129318,6298655.0
2003-08-18,218.100006,221.0,215.399994,216.899994,200.452759,3382031.0
2003-08-19,219.850006,219.899994,215.0,215.649994,199.297562,3080091.0
2003-08-20,217.399994,226.449997,217.300003,225.0,207.938568,6049174.0
2003-08-21,227.0,228.899994,223.300003,227.949997,210.664856,4012069.0
2003-08-22,228.050003,232.800003,225.899994,229.300003,211.912506,4436016.0
2003-08-25,230.0,231.449997,216.100006,221.050003,204.288086,4827198.0
2003-08-26,217.0,235.0,217.0,232.449997,214.823624,3968069.0
2003-08-27,235.399994,237.600006,233.0,234.300003,216.53334,2267859.0
2003-08-28,235.75,235.75,226.0,228.050003,210.757263,3554363.0
2003-08-29,232.050003,238.5,231.5,235.399994,217.549942,3212067.0
2003-09-01,236.399994,237.0,231.699997,235.550003,217.688599,2478236.0
2003-09-02,234.850006,234.850006,224.100006,226.550003,209.371017,3975812.0
2003-09-03,227.100006,231.75,221.0,222.800003,205.90538,3945233.0
2003-09-04,223.0,225.699997,218.449997,221.550003,204.750183,3682478.0
2003-09-05,223.899994,230.0,222.399994,229.300003,211.912506,2971415.0
2003-09-08,231.0,233.899994,227.149994,228.75,211.40419,1817991.0
2003-09-09,230.0,235.0,225.800003,228.199997,210.895905,2034401.0
2003-09-10,227.75,230.399994,225.800003,227.800003,210.52623,1476667.0
2003-09-11,230.0,230.100006,225.0,225.649994,208.539246,1092801.0
2003-09-12,228.0,228.5,219.100006,220.350006,203.641129,2496597.0
2003-09-15,219.0,221.350006,207.100006,208.350006,192.551102,3469640.0
2003-09-16,207.0,210.0,195.100006,208.5,192.689713,4004037.0
2003-09-17,212.5,219.5,209.25,216.050003,199.667236,3800473.0
2003-09-18,215.899994,215.899994,203.399994,205.600006,190.009659,2813556.0
2003-09-19,207.0,210.399994,198.800003,205.75,190.14827,3442717.0
2003-09-22,206.0,212.800003,205.75,210.699997,194.7229,2575343.0
2003-09-23,210.300003,214.399994,208.199997,213.149994,196.987106,1766451.0
2003-09-24,216.0,221.0,213.100006,219.949997,203.271469,2133208.0
2003-09-25,220.100006,220.100006,211.5,213.699997,197.495407,1916650.0
2003-09-26,214.399994,217.850006,213.100006,214.800003,198.511993,2531520.0
2003-09-29,216.0,229.449997,215.149994,227.199997,209.971741,3711837.0
2003-09-30,230.0,233.350006,228.0,232.550003,214.916061,3594810.0
2003-10-01,232.0,233.0,227.100006,228.449997,211.126968,2402620.0
2003-10-03,229.0,235.0,228.899994,234.399994,216.625778,2511914.0
2003-10-06,236.600006,242.350006,235.0,241.300003,223.002548,3094324.0
2003-10-07,244.0,246.399994,236.050003,237.550003,219.536911,2440562.0
2003-10-08,238.75,245.0,237.100006,240.25,222.032181,1859277.0
2003-10-09,240.850006,259.75,240.850006,258.049988,238.482437,6993550.0
2003-10-10,260.649994,272.399994,259.799988,269.100006,248.694519,3707816.0
2003-10-13,273.0,280.350006,272.0,276.100006,255.163742,3693070.0
2003-10-14,278.0,278.600006,262.799988,264.899994,244.813004,5123854.0
2003-10-15,264.899994,272.700012,261.299988,270.5,249.988342,3478259.0
2003-10-16,273.700012,281.299988,272.5,276.200012,255.256195,4100489.0
2003-10-17,280.549988,286.399994,275.450012,282.299988,260.893585,4126840.0
2003-10-20,282.0,284.799988,273.299988,274.75,253.916061,2192534.0
2003-10-21,276.100006,279.0,257.0,261.25,241.439774,3223848.0
2003-10-22,263.950012,279.0,260.549988,263.700012,243.703995,2569557.0
2003-10-23,264.5,273.25,261.649994,263.799988,243.796448,3114998.0
2003-10-24,265.0,291.0,260.0,285.0,263.388885,5225375.0
2003-10-27,294.899994,298.0,281.600006,283.200012,261.725342,5831782.0
2003-10-28,283.0,291.899994,277.799988,286.299988,264.59021,5640636.0
2003-10-29,291.450012,308.299988,286.200012,305.0,281.872253,7996572.0
2003-10-30,306.5,310.700012,302.0,305.899994,282.704041,7108567.0
2003-10-31,307.799988,324.200012,306.5,322.299988,297.860413,9924397.0
2003-11-03,324.0,349.5,324.0,347.600006,321.242004,9820043.0
2003-11-04,355.0,356.600006,345.200012,349.5,322.997925,7884723.0
2003-11-05,350.0,350.0,330.100006,336.100006,310.613983,7280790.0
2003-11-06,340.0,345.700012,334.0,338.450012,312.785828,6122862.0
2003-11-07,340.899994,343.399994,331.25,333.25,307.980011,4584798.0
2003-11-10,337.0,345.0,327.100006,341.700012,315.789337,1953978.0
2003-11-11,343.75,346.850006,338.350006,340.700012,314.865234,3262766.0
2003-11-12,338.049988,347.0,338.049988,342.950012,316.94455,3302571.0
2003-11-13,344.950012,356.700012,338.0,346.75,320.456451,7982920.0
2003-11-14,346.0,346.5,326.149994,329.299988,304.32959,4834168.0
2003-11-17,340.649994,353.5,337.0,350.0,323.459961,4081415.0
2003-11-18,353.0,354.399994,340.0,344.049988,317.961182,4672908.0
2003-11-19,346.0,346.0,329.0,330.600006,305.531036,4672785.0
2003-11-20,331.950012,339.049988,321.0,323.049988,298.553558,5484243.0
2003-11-21,324.0,327.0,314.100006,324.049988,299.477722,8100784.0
2003-11-24,328.700012,333.0,324.0,327.25,302.435059,5287524.0
2003-11-25,330.549988,338.5,328.649994,337.299988,311.723022,5021011.0
2003-11-27,340.0,347.0,338.399994,340.700012,314.865234,5069219.0
2003-11-28,343.399994,352.0,342.149994,344.600006,318.469482,3606119.0
2003-12-01,347.25,357.799988,346.850006,356.049988,329.05127,4405346.0
2003-12-02,365.0,367.0,348.100006,353.5,326.69455,4496428.0
2003-12-03,356.399994,363.899994,354.0,357.899994,330.760925,3993295.0
