Date,Open,High,Low,Close,Adj Close,Volume
2004-03-26,8.5,8.5,6.0,7.325,5.141887,32036948.0
2004-03-29,7.375,7.475,7.25,7.325,5.141887,11272118.0
2004-03-30,7.325,7.575,7.3,7.375,5.176986,9214162.0
2004-03-31,7.375,7.5,7.325,7.35,5.159437,5874712.0
2004-04-01,7.425,7.7,7.375,7.65,5.370026,9260748.0
2004-04-02,7.75,8.625,7.65,8.5,5.966696,37970688.0
2004-04-05,8.675,10.075,8.5,9.55,6.703759,97860558.0
2004-04-06,9.75,10.35,9.475,9.875,6.931896,66634092.0
2004-04-07,9.975,10.175,9.7,10.0,7.019642,41154350.0
2004-04-08,10.05,10.05,9.7,9.85,6.914348,25181032.0
2004-04-12,9.95,11.05,9.875,10.55,7.405722,57264840.0
2004-04-13,10.7,10.725,10.075,10.4,7.300428,27663252.0
2004-04-15,10.5,10.8,10.325,10.575,7.423271,25511140.0
2004-04-16,10.625,11.075,10.5,10.95,7.686507,31238310.0
2004-04-19,22.0,25.15,12.475,12.9,9.055338,90975684.0
2004-04-20,12.975,13.2,12.2,12.425,8.721906,42040052.0
2004-04-21,12.3,12.75,12.125,12.625,8.862297,26804200.0
2004-04-22,12.675,12.725,12.375,12.475,8.757003,17219094.0
2004-04-23,12.5,12.775,12.025,12.15,8.528865,19614068.0
2004-04-27,12.175,12.225,10.525,11.075,7.774252,22442372.0
2004-04-28,11.0,11.675,10.775,11.525,8.090137,27159242.0
2004-04-29,11.5,12.025,11.5,11.775,8.265629,20772056.0
2004-04-30,11.6,12.025,11.5,11.575,8.125236,17638272.0
2004-05-03,11.575,11.625,10.85,11.15,7.826901,17936154.0
2004-05-04,11.25,11.8,11.25,11.65,8.177882,13318302.0
2004-05-05,11.8,11.925,11.6,11.825,8.300726,11961366.0
2004-05-06,12.25,12.325,12.0,12.15,8.528865,12709830.0
2004-05-07,12.35,12.35,11.775,12.025,8.441118,15082158.0
2004-05-10,11.8,12.0,11.25,11.95,8.388472,10650304.0
2004-05-11,11.625,11.725,11.25,11.3,7.932195,10864734.0
2004-05-12,11.5,11.75,11.075,11.6,8.142785,17067790.0
2004-05-13,11.275,12.1,10.675,11.6,8.142785,20820786.0
2004-05-14,11.75,11.75,10.275,10.55,7.405722,19651328.0
2004-05-17,10.25,10.3,8.45,10.05,7.054739,19740158.0
2004-05-18,10.0,11.05,9.65,10.925,7.668959,13850126.0
2004-05-19,11.075,11.85,11.075,11.775,8.265629,19235250.0
2004-05-20,11.875,13.25,11.75,11.8,8.283179,12448752.0
2004-05-21,11.75,12.275,11.25,11.825,8.300726,18245606.0
2004-05-24,11.975,12.125,11.8,11.825,8.300726,7274848.0
2004-05-25,11.75,11.975,10.575,11.85,8.318275,7165466.0
2004-05-26,12.0,12.1,11.8,11.8,8.283179,4518548.0
2004-05-27,11.8,12.1,11.8,11.8,8.283179,9484388.0
2004-05-28,12.0,12.0,11.45,11.625,8.160335,9213026.0
2004-05-31,11.75,11.75,11.1,11.45,8.03749,9663446.0
2004-06-01,11.45,11.925,11.45,11.825,8.300726,9394440.0
2004-06-02,11.825,11.95,11.8,11.825,8.300726,4197770.0
2004-06-03,11.95,11.95,11.375,11.5,8.072587,6797976.0
2004-06-04,10.575,11.6,10.575,11.475,8.055039,3021976.0
2004-06-07,11.55,11.575,11.35,11.475,8.055039,3015690.0
2004-06-08,11.525,11.625,11.3,11.35,7.967294,2024830.0
2004-06-09,11.375,11.45,11.25,11.275,7.914646,1904946.0
2004-06-10,11.3,11.375,11.2,11.275,7.914646,1687524.0
