Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.2,5.27,5.1325,5.2625,-0.004467,5706.0
2002-07-02,5.25,5.5875,5.2275,5.515,-0.004681,23328.0
2002-07-03,5.5225,5.7125,5.4875,5.5425,-0.004704,26824.0
2002-07-04,5.7025,5.725,5.575,5.61,-0.004761,11580.0
2002-07-05,5.625,5.775,5.6,5.73,-0.004863,13912.0
2002-07-08,5.8,6.0,5.75,5.9375,-0.005039,20336.0
2002-07-09,5.875,6.0025,5.75,5.87,-0.004982,25568.0
2002-07-10,5.95,5.95,5.675,5.685,-0.004825,6412.0
2002-07-11,5.925,5.925,5.575,5.64,-0.004787,6116.0
2002-07-12,5.3775,5.625,5.3775,5.5875,-0.004742,4316.0
2002-07-15,5.555,5.555,5.375,5.3925,-0.004577,2978.0
2002-07-16,5.375,5.49,5.375,5.4375,-0.004615,2360.0
2002-07-17,5.3775,5.3825,5.25,5.27,-0.004473,8500.0
2002-07-18,5.25,5.425,5.25,5.385,-0.004571,7020.0
2002-07-19,5.4,5.525,5.4,5.49,-0.00466,2344.0
2002-07-22,5.3,5.375,5.225,5.245,-0.004452,5396.0
2002-07-23,5.175,5.7,5.175,5.5925,-0.004747,12726.0
2002-07-24,5.5525,5.8,5.5325,5.7175,-0.004853,21638.0
2002-07-25,5.75,5.87,5.625,5.6825,-0.004823,15390.0
2002-07-26,5.675,5.675,5.275,5.33,-0.004524,9616.0
2002-07-29,5.225,5.3875,5.2,5.29,-0.00449,5868.0
2002-07-30,5.4,5.4,5.2075,5.285,-0.004486,8364.0
2002-07-31,5.25,5.375,5.2,5.36,-0.004549,4272.0
2002-08-01,5.35,5.4675,5.35,5.3675,-0.004556,10556.0
2002-08-02,5.265,5.475,5.265,5.4375,-0.004615,4580.0
2002-08-05,5.5,5.5375,5.375,5.45,-0.004626,20162.0
2002-08-06,5.475,5.645,5.475,5.6075,-0.004759,9662.0
2002-08-07,5.6325,5.715,5.5825,5.65,-0.004795,5450.0
2002-08-08,5.6,5.6975,5.6,5.6625,-0.004806,6308.0
2002-08-09,5.6,5.665,5.6,5.655,-0.0048,2444.0
2002-08-12,5.6625,5.6975,5.65,5.6875,-0.004827,2234.0
2002-08-13,5.625,5.825,5.615,5.7825,-0.004908,3820.0
2002-08-14,5.825,5.85,5.7025,5.8025,-0.004925,2136.0
2002-08-16,5.75,5.8,5.7125,5.75,-0.00488,2846.0
2002-08-19,5.8,5.825,5.7775,5.7825,-0.004908,1478.0
2002-08-20,5.7225,5.75,5.6575,5.705,0.022998,5912.0
2002-08-21,5.725,5.725,5.62,5.6375,0.022725,1062.0
2002-08-22,5.6375,5.685,5.6025,5.605,0.022594,1222.0
2002-08-23,5.5775,5.65,5.5775,5.6425,0.022746,2048.0
2002-08-26,5.7475,5.7475,5.65,5.6525,0.022786,3770.0
2002-08-27,5.6275,5.72,5.6275,5.675,0.022877,1380.0
2002-08-28,5.65,5.7225,5.65,5.69,0.022937,1828.0
2002-08-29,5.65,5.735,5.65,5.71,0.023018,3654.0
2002-08-30,5.65,5.7,5.65,5.6875,0.022927,2414.0
2002-09-02,5.675,5.725,5.67,5.715,0.023038,1792.0
2002-09-03,5.6275,5.6275,5.55,5.555,0.022393,1664.0
2002-09-04,5.625,5.625,5.5625,5.625,0.022675,584.0
2002-09-05,5.6,5.65,5.5325,5.6175,0.022645,1788.0
2002-09-06,5.5325,5.675,5.5,5.5575,0.022403,21566.0
2002-09-09,5.5025,5.6225,5.4775,5.5525,0.022383,4198.0
2002-09-11,5.4775,5.55,5.4775,5.535,0.022312,2190.0
