Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,12.25,13.95,11.8,13.2,9.736903,19450150.0
2000-01-04,13.5,13.5,12.6,12.85,9.478729,10974305.0
2000-01-05,13.0,13.75,12.0,12.85,9.478729,15619835.0
2000-01-06,13.2,14.0,13.05,13.3,9.810668,22162375.0
2000-01-07,13.5,13.65,12.75,12.9,9.51561,12640820.0
2000-01-10,13.95,14.2,13.35,13.65,10.068844,19700925.0
2000-01-11,13.6,13.6,12.3,12.5,9.220554,15790290.0
2000-01-12,13.0,13.0,12.4,12.6,9.294316,5333880.0
2000-01-13,12.7,12.9,12.3,12.4,9.146788,3167925.0
2000-01-14,12.6,12.6,11.75,12.15,8.962376,3945420.0
2000-01-17,12.4,12.7,12.05,12.3,9.073024,5417225.0
2000-01-18,12.3,12.4,11.95,12.15,8.962376,6440115.0
2000-01-19,12.9,12.9,12.3,12.35,9.109905,2935480.0
2000-01-20,12.3,12.85,12.0,12.3,9.073024,7690465.0
2000-01-21,12.05,12.25,12.0,12.1,8.925495,4104770.0
2000-01-24,12.3,12.3,11.35,11.4,8.409144,5697080.0
2000-01-25,11.3,11.45,10.8,10.9,8.040322,5563460.0
2000-01-27,11.55,11.55,10.9,10.95,8.077203,3433985.0
2000-01-28,10.85,11.2,10.55,10.7,7.892793,4932890.0
2000-01-31,10.5,10.5,9.55,9.6,7.081384,5082000.0
2000-02-01,9.4,9.9,9.0,9.75,7.19203,5847655.0
2000-02-02,9.55,10.4,9.55,10.25,7.560851,4065245.0
2000-02-03,10.4,10.5,10.0,10.1,7.450206,2474170.0
2000-02-04,10.35,12.35,10.35,11.6,8.556675,10137930.0
2000-02-07,11.9,11.9,11.0,11.1,8.187849,3710400.0
2000-02-08,11.85,12.0,11.2,11.4,8.409144,8722930.0
2000-02-09,11.75,11.75,11.2,11.25,8.298498,6696905.0
2000-02-10,11.4,11.4,10.85,10.9,8.040322,1983565.0
2000-02-11,11.0,11.2,10.25,10.3,7.597735,3337835.0
2000-02-14,10.8,11.15,10.25,10.6,7.819029,3681285.0
2000-02-15,10.8,13.25,10.5,12.75,9.404963,24677195.0
2000-02-16,14.9,15.9,13.6,14.05,10.363901,73804040.0
2000-02-17,14.45,14.5,13.65,13.9,10.253253,19035020.0
2000-02-18,14.1,14.2,12.25,12.3,9.073024,23019040.0
2000-02-21,12.85,12.85,10.9,11.35,8.372261,16955140.0
