Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,12.0,12.0,11.5,11.55,6.994462,12594.0
2002-07-02,11.6,12.0,11.55,11.9,7.206414,13214.0
2002-07-03,11.5,11.9,11.35,11.5,6.964182,68303.0
2002-07-04,11.55,11.85,11.5,11.55,6.994462,13955.0
2002-07-05,12.1,12.1,11.45,11.75,7.115578,21343.0
2002-07-08,11.7,11.85,11.55,11.65,7.055019,9399.0
2002-07-09,12.45,12.45,11.65,11.9,7.206414,11500.0
2002-07-10,12.05,12.15,11.7,11.75,7.115578,17248.0
2002-07-11,11.8,12.0,11.6,11.8,7.145855,7892.0
2002-07-12,11.6,11.8,11.4,11.45,6.933902,8335.0
2002-07-15,11.7,11.7,11.2,11.4,6.903625,9471.0
2002-07-16,11.6,11.6,11.2,11.55,6.994462,6225.0
2002-07-17,11.25,11.45,11.05,11.3,6.843067,7250.0
2002-07-18,11.2,13.6,11.2,13.6,8.235904,48477.0
2002-07-19,14.0,16.35,13.1,16.35,9.901251,354876.0
2002-07-22,16.35,18.0,15.05,16.0,9.689298,252687.0
2002-07-23,15.35,16.549999,13.0,13.9,8.417576,176404.0
2002-07-24,13.75,13.75,12.75,12.95,7.842274,17863.0
2002-07-25,13.5,14.4,12.85,13.0,7.872554,22752.0
2002-07-26,13.0,13.3,11.6,12.0,7.266969,28531.0
2002-07-29,12.0,13.5,11.75,12.15,7.357808,11619.0
2002-07-30,12.2,12.2,11.8,11.85,7.176136,7460.0
2002-07-31,11.4,12.0,11.4,11.95,7.236692,20010.0
2002-08-01,11.8,12.1,11.75,11.8,7.145855,9700.0
2002-08-02,12.1,12.1,11.75,11.9,7.206414,2488.0
2002-08-05,11.9,12.1,11.8,11.95,7.236692,3244.0
2002-08-06,12.0,12.75,12.0,12.75,7.721158,4878.0
2002-08-07,12.5,12.9,12.5,12.6,7.630321,11697.0
2002-08-08,12.5,12.5,11.8,12.0,7.266969,5228.0
2002-08-09,12.15,12.15,11.9,12.0,7.266969,13450.0
2002-08-12,11.9,12.2,11.9,12.15,7.357808,1841.0
2002-08-13,12.0,12.25,12.0,12.1,7.32753,2835.0
2002-08-14,12.0,12.25,11.9,12.05,7.297252,2583.0
2002-08-16,13.7,13.7,11.8,12.2,7.388089,3567.0
2002-08-19,12.25,12.25,11.9,12.15,7.357808,3174.0
2002-08-20,12.0,12.1,12.0,12.1,7.32753,4017.0
2002-08-21,12.0,12.15,11.9,12.05,7.297252,5711.0
