Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.38238,7.52713,7.04463,7.40651,0.13165,994998.0
2000-01-04,7.19903,7.52713,7.04945,7.42098,0.131907,1058302.0
2000-01-05,7.16525,7.68154,7.05428,7.56573,0.13448,873415.0
2000-01-06,7.72014,8.13509,7.71049,7.80216,0.138683,2088481.0
2000-01-07,8.00964,8.00964,7.72014,7.78769,0.138426,514644.0
2000-01-10,7.95657,8.39565,7.82146,8.33292,0.148117,1798673.0
2000-01-11,8.39565,8.49215,7.82629,7.93727,0.141084,1547610.0
2000-01-12,7.99999,8.10614,7.88902,8.06272,0.143314,384915.0
2000-01-13,8.193,8.193,7.78286,7.85524,0.139626,233291.0
2000-01-14,7.81664,7.88902,7.72014,7.81181,0.138854,213727.0
2000-01-17,7.96139,8.00964,7.72496,7.82629,0.139112,294005.0
2000-01-18,7.75874,7.86006,7.43063,7.51266,0.133537,371537.0
2000-01-19,7.69601,7.81664,7.40168,7.42581,0.131993,556052.0
2000-01-20,7.40168,7.56091,7.18938,7.22315,0.128391,345382.0
2000-01-21,7.15078,7.23763,7.04463,7.14595,0.127019,455888.0
2000-01-24,7.30518,7.62364,6.99637,7.09288,0.126075,391765.0
2000-01-25,7.09288,7.66224,6.98672,7.66224,0.136196,1479196.0
2000-01-27,8.10614,8.10614,7.43063,7.55608,0.134309,1148622.0
2000-01-28,7.52713,8.10614,7.35826,7.88902,0.140227,1659535.0
2000-01-31,7.90349,8.20265,7.58503,7.95174,0.141341,2478775.0
2000-02-01,7.75391,7.86489,7.62364,7.71531,0.137139,552995.0
2000-02-02,7.91314,8.05789,7.72496,7.86006,0.139712,541617.0
2000-02-03,7.99999,8.28467,7.58503,7.66224,0.136196,1951458.0
2000-02-04,7.52713,7.61399,7.23763,7.29553,0.129677,1648468.0
2000-02-07,7.51748,7.51748,7.14595,7.43546,0.132165,784007.0
2000-02-08,7.28588,7.71049,7.28588,7.62846,0.135595,1585215.0
2000-02-09,7.80699,7.86006,7.55608,7.64294,0.135853,721417.0
2000-02-10,7.57538,7.81664,7.52713,7.68154,0.136539,571057.0
2000-02-11,7.70084,7.86006,7.52713,7.62846,0.135595,773738.0
2000-02-14,7.54643,7.72014,7.44993,7.52231,0.133708,527700.0
2000-02-15,7.47888,7.50301,7.23763,7.30518,0.129849,566021.0
2000-02-16,7.32931,7.89384,7.32448,7.82146,0.139026,953123.0
2000-02-17,8.12544,8.20265,7.86489,8.06272,0.143314,1290205.0
2000-02-18,7.93727,8.08202,7.52713,7.60916,0.135252,723054.0
2000-02-21,7.61399,7.70084,7.44028,7.47888,0.132936,268555.0
2000-02-22,7.57538,8.05789,7.33413,7.90349,0.140484,1520771.0
2000-02-23,8.20747,8.20747,7.76839,7.87937,0.140055,1069649.0
2000-02-24,7.64776,8.06754,7.64776,7.91797,0.140741,444914.0
2000-02-25,8.00482,8.05307,7.77321,7.96139,0.141513,415371.0
2000-02-28,8.00964,8.5983,7.72014,8.5983,0.152834,1291086.0
2000-02-29,8.68515,8.97466,7.91314,8.18335,0.145458,1896018.0
2000-03-01,8.193,8.20265,7.57538,7.87937,0.140055,454966.0
2000-03-02,7.98069,7.98069,7.28588,7.31966,0.130106,499628.0
2000-03-03,6.85162,7.90349,6.85162,7.74909,0.137739,1287946.0
2000-03-06,7.72014,7.85524,7.33413,7.42581,0.131993,493867.0
2000-03-07,7.42581,7.52713,6.95295,7.30518,0.129849,759075.0
2000-03-08,7.55126,7.68154,6.94812,6.97225,0.123931,393941.0
2000-03-09,6.94812,7.0398,6.80337,6.99637,0.12436,489390.0
2000-03-10,6.94812,7.18938,6.80337,6.8661,0.122044,493007.0
2000-03-13,6.66827,6.85162,6.36911,6.41254,0.113982,247944.0
2000-03-14,6.07961,6.56212,6.07961,6.49939,0.115526,965403.0
2000-03-15,6.64897,6.83715,6.46561,6.61037,0.117499,368543.0
2000-03-16,6.55729,6.60072,6.42219,6.46561,0.114926,536053.0
2000-03-21,6.38359,6.51387,6.27744,6.38841,0.113553,343673.0
2000-03-22,6.51387,6.74547,6.51387,6.63449,0.117928,185955.0
2000-03-23,6.28226,6.85162,6.27261,6.48974,0.115355,190981.0
2000-03-24,6.41736,6.46561,5.98311,6.40771,0.113897,343693.0
2000-03-27,6.41736,6.46561,6.31121,6.36911,0.11321,258172.0
2000-03-28,6.12786,6.41736,6.10856,6.22919,0.110723,266244.0
2000-03-29,6.27744,6.46561,6.27744,6.32569,0.112439,4209200.0
2000-03-30,6.27261,6.83232,6.24366,6.68757,0.118871,2373191.0
2000-03-31,6.17611,6.73099,6.17611,6.49457,0.11544,3283848.0
2000-04-03,6.55729,6.73099,6.49457,6.66344,0.118442,3441783.0
2000-04-04,6.51869,6.65862,6.29191,6.39324,0.113639,1276589.0
2000-04-05,6.27261,6.32086,6.05548,6.13751,0.109094,1175793.0
2000-04-06,6.24849,6.24849,5.93486,6.09891,0.272964,967548.0
2000-04-07,6.22436,6.34981,6.08926,6.25331,0.279875,1068043.0
2000-04-10,6.22919,6.35946,5.7901,6.05548,0.27102,1146643.0
2000-04-11,5.93968,6.10856,5.93968,6.01688,0.269293,545203.0
2000-04-12,6.06996,6.12303,5.95416,5.99758,0.268429,345040.0
2000-04-13,5.91556,5.93003,5.7515,5.82388,0.260655,641968.0
2000-04-17,5.70325,5.83835,5.54402,5.78045,0.258711,464717.0
2000-04-18,6.07961,6.07961,5.6936,5.7129,0.255688,603678.0
2000-04-19,5.91073,5.93003,5.4041,5.59227,0.250289,606466.0
2000-04-20,5.4234,5.5006,5.18697,5.27382,0.236036,4932969.0
2000-04-24,5.24969,5.28347,5.11459,5.21592,0.233445,4022519.0
2000-04-25,4.96984,5.12424,4.80096,4.80579,0.215089,1622199.0
2000-04-26,4.86369,4.99396,4.82509,4.94089,0.221136,1136570.0
2000-04-27,4.91676,4.92159,4.77683,4.83474,0.216385,436863.0
2000-04-28,4.82509,4.87334,4.51628,4.55971,0.204075,794090.0
2000-05-02,4.47768,4.57901,4.2702,4.31363,0.193062,1215719.0
2000-05-03,4.29433,4.52111,4.29433,4.4632,0.199756,502737.0
2000-05-04,4.29433,4.60796,4.29433,4.55971,0.204075,446624.0
2000-05-05,4.65621,4.65621,4.49215,4.54523,0.203427,348274.0
2000-05-08,4.65138,4.70928,4.43908,4.59831,0.205803,246814.0
2000-05-09,4.39565,4.72858,4.39565,4.69963,0.210338,421246.0
2000-05-10,4.72858,4.82509,4.64656,4.72376,0.211418,350812.0
2000-05-11,4.72858,4.77683,4.63208,4.74306,0.212281,222317.0
2000-05-12,4.66103,4.76718,4.58866,4.65138,0.208178,170691.0
2000-05-15,4.32328,4.80096,4.32328,4.72376,0.211418,541141.0
2000-05-16,4.72858,4.87334,4.68033,4.82991,0.216169,473846.0
2000-05-17,4.92159,5.01809,4.84439,4.87816,0.218328,182505.0
2000-05-18,4.92159,4.93606,4.85404,4.91194,0.21984,101294.0
2000-05-19,4.87334,4.93606,4.84921,4.92159,0.220272,256876.0
2000-05-22,4.92159,5.06634,4.86369,4.96501,0.222215,1235895.0
2000-05-23,5.01326,5.19179,4.83474,4.87334,0.218112,4941736.0
2000-05-24,4.92159,4.96984,4.77683,4.89746,0.219192,3825580.0
2000-05-25,4.87334,5.10494,4.83474,4.89746,0.219192,337320.0
2000-05-26,4.85404,5.00844,4.82509,4.94089,0.221136,193717.0
2000-05-29,4.99879,5.11459,4.93606,5.07599,0.227182,202131.0
2000-05-30,5.09529,5.33172,4.94089,5.27864,0.236252,382138.0
2000-05-31,5.35585,5.54885,5.21109,5.25934,0.235388,322740.0
2000-06-01,5.20144,5.20627,4.96984,5.11459,0.22891,475743.0
2000-06-02,5.12424,5.7322,5.12424,5.65983,0.253313,1999622.0
2000-06-05,5.78528,6.06996,5.52472,5.80458,0.259791,1387095.0
2000-06-06,5.57297,5.99276,5.57297,5.91556,0.264758,531317.0
2000-06-07,5.98311,5.99758,5.83835,5.87213,0.262814,243643.0
2000-06-08,5.97828,6.25814,5.89143,6.15198,0.275339,712277.0
2000-06-09,6.36429,6.89022,6.36429,6.87092,0.307516,2451915.0
2000-06-12,7.20868,7.33413,6.75512,6.77925,0.303414,2066025.0
