Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.3,7.8225,7.3,7.785,-0.142579,460000.0
2000-01-04,7.6,7.6,7.2,7.37,-0.134978,526000.0
2000-01-05,7.2,7.44,6.8,6.92,-0.126737,412000.0
2000-01-06,7.1,7.475,7.05,7.475,-0.136901,632000.0
2000-01-07,7.475,7.65,7.25,7.3175,-0.134017,732000.0
2000-01-10,7.5,7.5,7.0525,7.245,-0.132689,662000.0
2000-01-11,6.9,7.335,6.855,7.05,-0.129118,1512000.0
2000-01-12,7.595,7.615,7.275,7.395,-0.135436,394220.0
2000-01-13,7.575,7.85,7.315,7.4425,-0.136306,1255540.0
2000-01-14,7.5,7.5,7.1525,7.225,-0.132323,286640.0
2000-01-17,7.15,7.525,7.09,7.1875,-0.131636,158940.0
2000-01-18,7.1025,7.24,6.7875,6.96,-0.127469,713660.0
2000-01-19,7.13,7.25,7.0,7.1075,-0.130171,457520.0
2000-01-20,7.125,7.125,6.895,7.055,-0.129209,397380.0
2000-01-21,6.95,7.0475,6.8575,6.9425,-0.127149,265400.0
2000-01-24,6.955,7.15,6.95,7.0025,-0.128248,209020.0
2000-01-25,7.0,7.02,6.835,6.885,-0.126096,179660.0
2000-01-27,7.0,7.245,6.825,6.935,-0.127012,82180.0
2000-01-28,6.75,6.9,6.745,6.81,-0.124722,167980.0
2000-01-31,6.6,6.895,6.6,6.8025,-0.124585,271120.0
2000-02-01,6.55,7.1925,6.26,6.7375,-0.123394,120760.0
2000-02-02,6.8475,6.8475,6.35,6.455,-0.118221,156360.0
2000-02-03,6.35,6.475,6.25,6.2775,-0.11497,124360.0
2000-02-04,6.435,6.435,6.0,6.185,-0.113276,105500.0
2000-02-07,6.35,6.35,5.69,5.7,-0.104393,156360.0
2000-02-08,5.35,6.0,5.35,5.905,-0.108148,195280.0
2000-02-09,5.995,6.17,5.75,5.875,-0.107598,273220.0
2000-02-10,5.95,6.045,5.8,5.855,-0.107232,170900.0
2000-02-11,5.8,5.8,5.4,5.435,-0.09954,311120.0
2000-02-14,5.22,5.3475,5.1,5.1025,-0.09345,103220.0
2000-02-15,5.1,5.35,5.0,5.1025,-0.09345,287280.0
2000-02-16,5.25,5.39,5.155,5.2,-0.095236,130680.0
2000-02-17,5.2975,5.54,5.21,5.4975,-0.100684,176120.0
2000-02-18,5.37,5.5,5.265,5.3375,-0.097754,82820.0
2000-02-21,5.1,5.485,5.1,5.3225,-0.097479,159540.0
2000-02-22,5.25,5.4,5.25,5.3625,-0.098212,214900.0
2000-02-23,5.2525,5.425,5.2525,5.425,-0.099357,56140.0
2000-02-24,5.25,5.4,5.25,5.3525,-0.098029,31240.0
2000-02-25,5.3875,5.3875,5.0,5.13,-0.093954,60420.0
2000-02-28,5.05,5.15,5.025,5.1475,-0.094274,154560.0
2000-02-29,5.055,5.4475,5.0,5.055,-0.09258,88200.0
2000-03-01,5.13,5.2,5.0,5.0825,-0.093084,39320.0
2000-03-02,5.1475,5.25,4.8,4.81,-0.088093,421080.0
2000-03-03,4.7975,4.7975,4.425,4.47,-0.081866,75300.0
2000-03-06,4.55,4.71,4.2275,4.38,-0.080218,310480.0
2000-03-07,4.325,4.45,4.055,4.26,-0.07802,91580.0
2000-03-08,4.385,4.385,3.925,4.0,-0.073258,69280.0
2000-03-09,4.0,4.0,3.685,3.7025,-0.06781,61720.0
2000-03-10,3.5775,3.7975,3.45,3.6225,-0.066345,163840.0
2000-03-13,3.6,3.75,3.5025,3.725,-0.068222,89300.0
2000-03-14,3.7525,4.025,3.7525,4.025,-0.073716,116000.0
2000-03-15,4.3,4.3475,4.25,4.3475,-0.079623,112980.0
2000-03-16,4.6925,4.6975,4.4025,4.55,-0.083331,401420.0
2000-03-21,4.6,4.675,4.45,4.52,-0.082782,448720.0
2000-03-22,4.8475,4.8475,4.575,4.81,-0.088093,169180.0
2000-03-23,5.015,5.015,4.7525,4.905,-0.089833,171460.0
2000-03-24,4.8,4.805,4.665,4.725,-0.086536,206760.0
2000-03-27,4.945,4.945,4.375,4.43,-0.081134,201900.0
2000-03-28,4.425,4.4975,4.3025,4.4225,-0.080996,202580.0
2000-03-29,4.5,4.685,4.4,4.405,-0.080676,193080.0
2000-03-30,4.315,4.5,4.3125,4.4775,-0.082004,263800.0
2000-03-31,4.205,4.5,4.205,4.495,-0.082324,134820.0
2000-04-03,4.55,4.5875,4.4125,4.5,-0.082416,133060.0
2000-04-04,4.4,4.4,4.14,4.2575,-0.077974,383380.0
2000-04-05,4.25,4.4475,4.15,4.1775,-0.076509,186100.0
2000-04-06,4.2625,4.2625,3.845,3.8575,-0.18709,203500.0
2000-04-07,4.095,4.1675,3.925,4.1675,-0.202125,229360.0
2000-04-10,4.4,4.45,4.055,4.18,-0.202731,420440.0
2000-04-11,3.875,4.2,3.875,4.19,-0.203216,74700.0
2000-04-12,4.125,4.245,4.1,4.1175,-0.1997,106780.0
2000-04-13,3.85,4.2,3.85,4.075,-0.197639,298080.0
2000-04-17,3.9075,4.175,3.9075,4.1575,-0.20164,125460.0
2000-04-18,4.15,4.225,4.05,4.0725,-0.197517,102020.0
2000-04-19,4.15,4.15,4.055,4.0875,-0.198245,52440.0
2000-04-20,3.9625,4.1,3.9625,4.025,-0.195214,136240.0
2000-04-24,3.9025,3.9475,3.705,3.76,-0.182361,204700.0
2000-04-25,3.6,3.7,3.5,3.5375,-0.17157,237360.0
2000-04-26,3.75,3.82,3.7,3.8,-0.184301,141560.0
2000-04-27,3.805,3.85,3.65,3.6575,-0.17739,180560.0
2000-04-28,3.6525,3.6525,3.45,3.4975,-0.16963,205640.0
2000-05-02,3.475,3.475,3.3,3.41,-0.165386,166520.0
2000-05-03,3.4,3.55,3.35,3.5,-0.169751,91480.0
2000-05-04,3.5,3.55,3.45,3.49,-0.169266,106100.0
2000-05-05,3.5,3.5,3.4,3.4475,-0.167205,135080.0
2000-05-08,3.45,3.4625,3.25,3.28,-0.159081,251680.0
2000-05-09,3.25,3.395,3.065,3.275,-0.158838,126880.0
