Date,Open,High,Low,Close,Adj Close,Volume
2005-07-12,13.18,14.0,12.0,12.17,8.089036,244941515.0
2005-07-13,12.2,12.6,11.49,11.74,7.803226,64111620.0
2005-07-14,12.0,12.0,11.4,11.45,7.610473,16282865.0
2005-07-15,11.25,12.89,11.25,12.37,8.22197,75448030.0
2005-07-18,12.54,13.14,12.5,12.82,8.52107,75684775.0
2005-07-19,13.0,13.0,12.62,12.79,8.50113,25445935.0
2005-07-20,12.82,12.97,12.6,12.7,8.44131,9406670.0
2005-07-21,12.78,12.8,12.45,12.5,8.308377,10164570.0
2005-07-22,12.56,12.6,12.36,12.41,8.248556,5026005.0
2005-07-25,12.6,12.6,12.22,12.28,8.162149,5403485.0
2005-07-26,12.32,12.8,12.2,12.49,8.301729,11647700.0
2005-07-27,12.66,12.9,12.47,12.71,8.447957,12481020.0
2005-07-29,12.71,12.85,12.4,12.49,8.301729,6186465.0
2005-08-01,12.61,12.86,12.55,12.66,8.414723,17954690.0
2005-08-02,12.8,14.86,12.8,14.32,9.518076,154283555.0
2005-08-03,14.5,14.57,13.63,13.91,9.245562,56966635.0
2005-08-04,14.0,14.74,13.92,14.34,9.531369,42898030.0
2005-08-05,14.3,14.55,14.2,14.31,9.51143,13080370.0
2005-08-08,14.39,14.47,14.09,14.13,9.391788,10771625.0
2005-08-09,14.18,14.23,13.71,13.94,9.265501,7518155.0
2005-08-10,14.0,14.7,14.0,14.3,9.504783,16457335.0
2005-08-11,14.39,14.56,14.24,14.33,9.524721,8931260.0
2005-08-12,14.3,14.38,14.1,14.14,9.398436,4509935.0
2005-08-16,14.18,14.29,13.8,13.89,9.232268,5442010.0
2005-08-17,13.88,14.18,13.75,13.81,9.179095,5179820.0
2005-08-18,13.94,14.01,13.71,13.79,9.1658,4823060.0
2005-08-19,13.93,13.93,13.48,13.58,9.02622,4071670.0
2005-08-22,13.7,13.72,13.25,13.34,8.866698,4580710.0
2005-08-23,13.49,13.49,12.78,12.92,8.587537,7381835.0
2005-08-24,12.84,13.18,12.78,12.93,8.594186,3082390.0
2005-08-25,13.0,13.46,12.95,13.14,8.733765,2483045.0
2005-08-26,13.22,13.6,13.14,13.24,8.800231,2330370.0
2005-08-29,13.4,13.4,12.84,13.05,8.673944,6227745.0
2005-08-30,13.19,13.43,13.14,13.29,8.833465,2026595.0
2005-08-31,13.4,13.73,13.23,13.41,8.913225,4263315.0
2005-09-01,13.59,13.66,13.3,13.4,8.906579,1910845.0
